"lab2","population","treatment","flask","species","day","latbb80","latbb50","latbb1"
"mp.HC.HP.HF.6.spipyr.1","mp","HC.HP.HF",6,"spipyr",10,7,7,7
"mp.HC.HP.HF.7.alnvir.1","mp","HC.HP.HF",7,"alnvir",31,48,31,31
"mp.HC.HP.HF.7.popbal.1","mp","HC.HP.HF",7,"popbal",19,19,19,19
"mp.HC.HP.HF.7.shecan.1","mp","HC.HP.HF",7,"shecan",19,28,26,16
"mp.HC.HP.HF.8.acegla.1","mp","HC.HP.HF",8,"acegla",19,NA,34,31
"mp.HC.HP.HF.8.alninc.1","mp","HC.HP.HF",8,"alninc",10,16,13,13
"mp.HC.HP.HF.8.poptre.1","mp","HC.HP.HF",8,"poptre",34,NA,37,31
"mp.HC.HP.HF.8.rubpar.1","mp","HC.HP.HF",8,"rubpar",51,NA,19,19
"mp.HC.HP.HF.9.corsto.1","mp","HC.HP.HF",9,"corsto",8,10,8,8
"mp.HC.HP.HF.9.riblac.1","mp","HC.HP.HF",9,"riblac",28,NA,NA,19
"mp.HC.HP.HF.9.rubpar.1","mp","HC.HP.HF",9,"rubpar",19,NA,NA,19
"mp.HC.HP.LF.1.amealn.1","mp","HC.HP.LF",1,"amealn",20,22,22,20
"mp.HC.HP.LF.1.shecan.1","mp","HC.HP.LF",1,"shecan",27,27,27,22
"mp.HC.HP.LF.1.shecan.2","mp","HC.HP.LF",1,"shecan",22,NA,36,27
"mp.HC.HP.LF.10.alninc.1","mp","HC.HP.LF",10,"alninc",24,NA,NA,NA
"mp.HC.HP.LF.10.popbal.1","mp","HC.HP.LF",10,"popbal",27,NA,NA,NA
"mp.HC.HP.LF.10.popbal.2","mp","HC.HP.LF",10,"popbal",27,36,36,36
"mp.HC.HP.LF.11.amealn.1","mp","HC.HP.LF",11,"amealn",13,20,20,20
"mp.HC.HP.LF.11.popbal.1","mp","HC.HP.LF",11,"popbal",27,NA,NA,NA
"mp.HC.HP.LF.11.shecan.1","mp","HC.HP.LF",11,"shecan",23,33,30,20
"mp.HC.HP.LF.12.samrac.1","mp","HC.HP.LF",12,"samrac",20,NA,NA,NA
"mp.HC.HP.LF.12.shecan.1","mp","HC.HP.LF",12,"shecan",24,NA,43,27
"mp.HC.HP.LF.12.spibet.1","mp","HC.HP.LF",12,"spibet",17,NA,NA,17
"mp.HC.HP.LF.13.acegla.1","mp","HC.HP.LF",13,"acegla",27,NA,NA,NA
"mp.HC.HP.LF.13.alninc.1","mp","HC.HP.LF",13,"alninc",16,20,20,16
"mp.HC.HP.LF.13.rhoalb.1","mp","HC.HP.LF",13,"rhoalb",16,NA,NA,27
"mp.HC.HP.LF.14.alninc.2","mp","HC.HP.LF",14,"alninc",23,30,30,27
"mp.HC.HP.LF.14.spipyr.1","mp","HC.HP.LF",14,"spipyr",23,NA,84,23
"mp.HC.HP.LF.15.popbal.1","mp","HC.HP.LF",15,"popbal",27,27,27,27
"mp.HC.HP.LF.16.poptre.1","mp","HC.HP.LF",16,"poptre",52,52,52,52
"mp.HC.HP.LF.16.shecan.1","mp","HC.HP.LF",16,"shecan",36,39,36,30
"mp.HC.HP.LF.16.vibedu.1","mp","HC.HP.LF",16,"vibedu",16,NA,16,13
"mp.HC.HP.LF.17.corsto.1","mp","HC.HP.LF",17,"corsto",16,NA,16,16
"mp.HC.HP.LF.17.rhoalb.1","mp","HC.HP.LF",17,"rhoalb",20,NA,NA,42
"mp.HC.HP.LF.18.acegla.1","mp","HC.HP.LF",18,"acegla",73,NA,76,39
"mp.HC.HP.LF.18.alninc.1","mp","HC.HP.LF",18,"alninc",16,20,20,16
"mp.HC.HP.LF.18.alnvir.1","mp","HC.HP.LF",18,"alnvir",46,46,46,42
"mp.HC.HP.LF.18.sorsco.1","mp","HC.HP.LF",18,"sorsco",20,NA,NA,NA
"mp.HC.HP.LF.19.poptre.1","mp","HC.HP.LF",19,"poptre",58,NA,70,61
"mp.HC.HP.LF.19.vibedu.1","mp","HC.HP.LF",19,"vibedu",27,NA,NA,16
