"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1","treatment"
"100","mp.HC.HP.HF.32.menfer.1","mp","HC","HP","HF",32,"menfer",23,1,NA,NA,23,"HC.HP.HF"
"101","mp.HC.HP.HF.32.spibet.1","mp","HC","HP","HF",32,"spibet",10,1,NA,10,10,"HC.HP.HF"
"102","mp.HC.HP.HF.32.vacmem.1","mp","HC","HP","HF",32,"vacmem",15,1,NA,NA,15,"HC.HP.HF"
"103","mp.HC.HP.HF.32.vibedu.1","mp","HC","HP","HF",32,"vibedu",10,1,NA,12,10,"HC.HP.HF"
"104","mp.HC.HP.HF.33.alninc.1","mp","HC","HP","HF",33,"alninc",10,1,15,15,15,"HC.HP.HF"
"105","mp.HC.HP.HF.33.alninc.2","mp","HC","HP","HF",33,"alninc",15,1,25,19,15,"HC.HP.HF"
"106","mp.HC.HP.HF.33.amealn.1","mp","HC","HP","HF",33,"amealn",7,1,10,7,7,"HC.HP.HF"
"107","mp.HC.HP.HF.33.rubpar.1","mp","HC","HP","HF",33,"rubpar",19,1,NA,19,19,"HC.HP.HF"
"108","mp.HC.HP.HF.34.alnvir.1","mp","HC","HP","HF",34,"alnvir",23,1,23,23,23,"HC.HP.HF"
"109","mp.HC.HP.HF.34.loninv.1","mp","HC","HP","HF",34,"loninv",10,1,NA,NA,NA,"HC.HP.HF"
"110","mp.HC.HP.HF.34.riblac.1","mp","HC","HP","HF",34,"riblac",13,1,NA,NA,13,"HC.HP.HF"
"111","mp.HC.HP.HF.34.samrac.1","mp","HC","HP","HF",34,"samrac",13,1,51,23,19,"HC.HP.HF"
"112","mp.HC.HP.HF.35.popbal.1","mp","HC","HP","HF",35,"popbal",17,1,NA,NA,NA,"HC.HP.HF"
"113","mp.HC.HP.HF.35.rhoalb.1","mp","HC","HP","HF",35,"rhoalb",13,1,NA,NA,17,"HC.HP.HF"
"114","mp.HC.HP.HF.35.samrac.1","mp","HC","HP","HF",35,"samrac",13,1,NA,NA,NA,"HC.HP.HF"
"115","mp.HC.HP.HF.35.spibet.1","mp","HC","HP","HF",35,"spibet",17,1,NA,17,17,"HC.HP.HF"
"116","mp.HC.HP.HF.36.alninc.1","mp","HC","HP","HF",36,"alninc",23,1,25,25,23,"HC.HP.HF"
"117","mp.HC.HP.HF.36.corsto.1","mp","HC","HP","HF",36,"corsto",10,1,25,10,10,"HC.HP.HF"
"118","mp.HC.HP.HF.36.poptre.1","mp","HC","HP","HF",36,"poptre",28,1,28,28,28,"HC.HP.HF"
"119","mp.HC.HP.HF.36.poptre.2","mp","HC","HP","HF",36,"poptre",31,1,NA,NA,NA,"HC.HP.HF"
"120","mp.HC.HP.HF.37.popbal.1","mp","HC","HP","HF",37,"popbal",17,1,NA,NA,NA,"HC.HP.HF"
"121","mp.HC.HP.HF.37.rubpar.1","mp","HC","HP","HF",37,"rubpar",17,1,NA,NA,17,"HC.HP.HF"
"122","mp.HC.HP.HF.37.symalb.1","mp","HC","HP","HF",37,"symalb",13,1,NA,NA,13,"HC.HP.HF"
"123","mp.HC.HP.HF.37.vibedu.1","mp","HC","HP","HF",37,"vibedu",19,1,NA,NA,NA,"HC.HP.HF"
"124","mp.HC.HP.HF.38.corsto.1","mp","HC","HP","HF",38,"corsto",7,1,10,10,7,"HC.HP.HF"
"125","mp.HC.HP.HF.38.popbal.1","mp","HC","HP","HF",38,"popbal",17,1,NA,NA,NA,"HC.HP.HF"
"126","mp.HC.HP.HF.38.riblac.1","mp","HC","HP","HF",38,"riblac",26,1,NA,NA,26,"HC.HP.HF"
"127","mp.HC.HP.HF.38.vacmem.1","mp","HC","HP","HF",38,"vacmem",10,1,NA,NA,10,"HC.HP.HF"
"128","mp.HC.HP.HF.39.alnvir.1","mp","HC","HP","HF",39,"alnvir",23,1,26,26,23,"HC.HP.HF"
"129","mp.HC.HP.HF.39.menfer.1","mp","HC","HP","HF",39,"menfer",23,1,37,28,23,"HC.HP.HF"
"130","mp.HC.HP.HF.39.rhoalb.1","mp","HC","HP","HF",39,"rhoalb",13,1,NA,NA,13,"HC.HP.HF"
"131","mp.HC.HP.HF.39.sorsco.1","mp","HC","HP","HF",39,"sorsco",13,1,NA,NA,NA,"HC.HP.HF"
"132","mp.HC.HP.HF.4.popbal.1","mp","HC","HP","HF",4,"popbal",19,1,19,19,19,"HC.HP.HF"
"133","mp.HC.HP.HF.4.sorsco.1","mp","HC","HP","HF",4,"sorsco",13,1,16,13,13,"HC.HP.HF"
"134","mp.HC.HP.HF.4.symalb.1","mp","HC","HP","HF",4,"symalb",10,1,26,10,10,"HC.HP.HF"
"135","mp.HC.HP.HF.4.vacmem.1","mp","HC","HP","HF",4,"vacmem",16,1,NA,NA,16,"HC.HP.HF"
"136","mp.HC.HP.HF.40.alnvir.1","mp","HC","HP","HF",40,"alnvir",19,1,22,22,19,"HC.HP.HF"
"137","mp.HC.HP.HF.40.corsto.1","mp","HC","HP","HF",40,"corsto",10,1,19,10,10,"HC.HP.HF"
"138","mp.HC.HP.HF.40.spipyr.1","mp","HC","HP","HF",40,"spipyr",10,1,NA,26,10,"HC.HP.HF"
"139","mp.HC.HP.HF.40.vibedu.1","mp","HC","HP","HF",40,"vibedu",10,1,NA,NA,10,"HC.HP.HF"
"140","mp.HC.HP.HF.5.alnvir.1","mp","HC","HP","HF",5,"alnvir",34,1,57,57,34,"HC.HP.HF"
"141","mp.HC.HP.HF.5.corsto.1","mp","HC","HP","HF",5,"corsto",7,1,10,10,7,"HC.HP.HF"
"142","mp.HC.HP.HF.5.menfer.1","mp","HC","HP","HF",5,"menfer",40,1,72,48,40,"HC.HP.HF"
"143","mp.HC.HP.HF.5.symalb.1","mp","HC","HP","HF",5,"symalb",10,1,NA,13,10,"HC.HP.HF"
"144","mp.HC.HP.HF.6.loninv.1","mp","HC","HP","HF",6,"loninv",5,1,NA,NA,NA,"HC.HP.HF"
"145","mp.HC.HP.HF.6.rubpar.1","mp","HC","HP","HF",6,"rubpar",19,1,NA,31,19,"HC.HP.HF"
"146","mp.HC.HP.HF.6.spipyr.1","mp","HC","HP","HF",6,"spipyr",7,1,7,7,7,"HC.HP.HF"
"147","mp.HC.HP.HF.6.symalb.1","mp","HC","HP","HF",6,"symalb",10,1,NA,10,10,"HC.HP.HF"
"148","mp.HC.HP.HF.7.alnvir.1","mp","HC","HP","HF",7,"alnvir",31,1,48,31,31,"HC.HP.HF"
"149","mp.HC.HP.HF.7.popbal.1","mp","HC","HP","HF",7,"popbal",19,1,19,19,19,"HC.HP.HF"
"150","mp.HC.HP.HF.7.rubpar.1","mp","HC","HP","HF",7,"rubpar",19,1,NA,19,19,"HC.HP.HF"
"151","mp.HC.HP.HF.7.shecan.1","mp","HC","HP","HF",7,"shecan",16,1,28,26,16,"HC.HP.HF"
"152","mp.HC.HP.HF.8.acegla.1","mp","HC","HP","HF",8,"acegla",19,1,NA,34,31,"HC.HP.HF"
"153","mp.HC.HP.HF.8.alninc.1","mp","HC","HP","HF",8,"alninc",10,1,16,13,13,"HC.HP.HF"
"154","mp.HC.HP.HF.8.poptre.1","mp","HC","HP","HF",8,"poptre",31,1,NA,37,31,"HC.HP.HF"
"155","mp.HC.HP.HF.8.rubpar.1","mp","HC","HP","HF",8,"rubpar",19,1,NA,19,19,"HC.HP.HF"
"156","mp.HC.HP.HF.9.corsto.1","mp","HC","HP","HF",9,"corsto",8,1,10,8,8,"HC.HP.HF"
"157","mp.HC.HP.HF.9.riblac.1","mp","HC","HP","HF",9,"riblac",19,1,NA,NA,19,"HC.HP.HF"
"158","mp.HC.HP.HF.9.rubpar.1","mp","HC","HP","HF",9,"rubpar",19,1,NA,NA,19,"HC.HP.HF"
"159","mp.HC.HP.HF.9.vacmem.1","mp","HC","HP","HF",9,"vacmem",13,1,NA,NA,13,"HC.HP.HF"
"160","mp.HC.HP.LF.1.amealn.1","mp","HC","HP","LF",1,"amealn",20,1,22,22,20,"HC.HP.LF"
"161","mp.HC.HP.LF.1.menfer.1","mp","HC","HP","LF",1,"menfer",49,1,NA,82,49,"HC.HP.LF"
"162","mp.HC.HP.LF.1.shecan.1","mp","HC","HP","LF",1,"shecan",22,1,27,27,22,"HC.HP.LF"
