"lab2","population","treatment","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"mp.HC.HP.HF.29.poptre.1","mp","HC.HP.HF",29,"poptre",40,1,NA,NA,NA
"mp.HC.HP.HF.29.sorsco.1","mp","HC.HP.HF",29,"sorsco",12,1,NA,NA,NA
"mp.HC.HP.HF.29.vibedu.1","mp","HC.HP.HF",29,"vibedu",10,1,NA,19,10
"mp.HC.HP.HF.3.alnvir.1","mp","HC.HP.HF",3,"alnvir",28,1,NA,42,28
"mp.HC.HP.HF.3.spibet.1","mp","HC.HP.HF",3,"spibet",13,1,13,13,13
"mp.HC.HP.HF.3.spibet.2","mp","HC.HP.HF",3,"spibet",13,1,NA,NA,13
"mp.HC.HP.HF.30.loninv.1","mp","HC.HP.HF",30,"loninv",10,1,NA,13,13
"mp.HC.HP.HF.30.menfer.1","mp","HC.HP.HF",30,"menfer",23,1,NA,NA,23
"mp.HC.HP.HF.30.popbal.1","mp","HC.HP.HF",30,"popbal",16,1,NA,NA,NA
"mp.HC.HP.HF.30.sorsco.1","mp","HC.HP.HF",30,"sorsco",10,1,NA,13,10
"mp.HC.HP.HF.31.acegla.1","mp","HC.HP.HF",31,"acegla",23,1,NA,NA,28
"mp.HC.HP.HF.31.amealn.1","mp","HC.HP.HF",31,"amealn",10,1,19,10,10
"mp.HC.HP.HF.31.shecan.1","mp","HC.HP.HF",31,"shecan",13,1,31,26,13
"mp.HC.HP.HF.31.shecan.2","mp","HC.HP.HF",31,"shecan",19,1,23,23,19
"mp.HC.HP.HF.32.menfer.1","mp","HC.HP.HF",32,"menfer",23,1,NA,NA,23
"mp.HC.HP.HF.32.spibet.1","mp","HC.HP.HF",32,"spibet",10,1,NA,10,10
"mp.HC.HP.HF.32.vacmem.1","mp","HC.HP.HF",32,"vacmem",16,1,NA,NA,16
"mp.HC.HP.HF.32.vibedu.1","mp","HC.HP.HF",32,"vibedu",10,1,NA,12,10
"mp.HC.HP.HF.33.alninc.1","mp","HC.HP.HF",33,"alninc",10,1,16,16,16
"mp.HC.HP.HF.33.alninc.2","mp","HC.HP.HF",33,"alninc",16,1,25,19,16
"mp.HC.HP.HF.33.amealn.1","mp","HC.HP.HF",33,"amealn",7,1,10,7,7
"mp.HC.HP.HF.33.rubpar.1","mp","HC.HP.HF",33,"rubpar",19,1,NA,19,19
"mp.HC.HP.HF.34.alnvir.1","mp","HC.HP.HF",34,"alnvir",23,1,23,23,23
"mp.HC.HP.HF.34.loninv.1","mp","HC.HP.HF",34,"loninv",10,1,NA,NA,NA
"mp.HC.HP.HF.34.riblac.1","mp","HC.HP.HF",34,"riblac",13,1,NA,NA,13
"mp.HC.HP.HF.34.samrac.1","mp","HC.HP.HF",34,"samrac",13,1,51,23,19
"mp.HC.HP.HF.35.popbal.1","mp","HC.HP.HF",35,"popbal",17,1,NA,NA,NA
"mp.HC.HP.HF.35.rhoalb.1","mp","HC.HP.HF",35,"rhoalb",13,1,NA,NA,17
"mp.HC.HP.HF.35.samrac.1","mp","HC.HP.HF",35,"samrac",13,1,NA,NA,NA
"mp.HC.HP.HF.35.spibet.1","mp","HC.HP.HF",35,"spibet",17,1,NA,17,17
"mp.HC.HP.HF.36.alninc.1","mp","HC.HP.HF",36,"alninc",23,1,25,25,23
"mp.HC.HP.HF.36.corsto.1","mp","HC.HP.HF",36,"corsto",10,1,25,10,10
"mp.HC.HP.HF.36.poptre.1","mp","HC.HP.HF",36,"poptre",28,1,28,28,28
"mp.HC.HP.HF.36.poptre.2","mp","HC.HP.HF",36,"poptre",31,1,NA,NA,NA
"mp.HC.HP.HF.37.popbal.1","mp","HC.HP.HF",37,"popbal",17,1,NA,NA,NA
