"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"107","mp.HC.HP.HF.33.rubpar.1","mp","HC","HP","HF",33,"rubpar",19,1,NA,19,19
"108","mp.HC.HP.HF.34.alnvir.1","mp","HC","HP","HF",34,"alnvir",23,1,23,23,23
"109","mp.HC.HP.HF.34.loninv.1","mp","HC","HP","HF",34,"loninv",10,1,NA,NA,NA
"110","mp.HC.HP.HF.34.riblac.1","mp","HC","HP","HF",34,"riblac",13,1,NA,NA,13
"111","mp.HC.HP.HF.34.samrac.1","mp","HC","HP","HF",34,"samrac",13,1,51,23,19
"112","mp.HC.HP.HF.35.popbal.1","mp","HC","HP","HF",35,"popbal",17,1,NA,NA,NA
"113","mp.HC.HP.HF.35.rhoalb.1","mp","HC","HP","HF",35,"rhoalb",13,1,NA,NA,17
"114","mp.HC.HP.HF.35.samrac.1","mp","HC","HP","HF",35,"samrac",13,1,NA,NA,NA
"115","mp.HC.HP.HF.35.spibet.1","mp","HC","HP","HF",35,"spibet",17,1,NA,17,17
"116","mp.HC.HP.HF.36.alninc.1","mp","HC","HP","HF",36,"alninc",23,1,25,25,23
"117","mp.HC.HP.HF.36.corsto.1","mp","HC","HP","HF",36,"corsto",10,1,25,10,10
"118","mp.HC.HP.HF.36.poptre.1","mp","HC","HP","HF",36,"poptre",28,1,28,28,28
"119","mp.HC.HP.HF.36.poptre.2","mp","HC","HP","HF",36,"poptre",31,1,NA,NA,NA
"120","mp.HC.HP.HF.37.popbal.1","mp","HC","HP","HF",37,"popbal",17,1,NA,NA,NA
"121","mp.HC.HP.HF.37.rubpar.1","mp","HC","HP","HF",37,"rubpar",17,1,NA,NA,17
"122","mp.HC.HP.HF.37.symalb.1","mp","HC","HP","HF",37,"symalb",13,1,NA,NA,13
"123","mp.HC.HP.HF.37.vibedu.1","mp","HC","HP","HF",37,"vibedu",19,1,NA,NA,NA
"124","mp.HC.HP.HF.38.corsto.1","mp","HC","HP","HF",38,"corsto",7,1,10,10,7
"125","mp.HC.HP.HF.38.popbal.1","mp","HC","HP","HF",38,"popbal",17,1,NA,NA,NA
"126","mp.HC.HP.HF.38.riblac.1","mp","HC","HP","HF",38,"riblac",26,1,NA,NA,26
"127","mp.HC.HP.HF.38.vacmem.1","mp","HC","HP","HF",38,"vacmem",10,1,NA,NA,10
"128","mp.HC.HP.HF.39.alnvir.1","mp","HC","HP","HF",39,"alnvir",23,1,26,26,23
"129","mp.HC.HP.HF.39.menfer.1","mp","HC","HP","HF",39,"menfer",23,1,37,28,23
"130","mp.HC.HP.HF.39.rhoalb.1","mp","HC","HP","HF",39,"rhoalb",13,1,NA,NA,13
"131","mp.HC.HP.HF.39.sorsco.1","mp","HC","HP","HF",39,"sorsco",13,1,NA,NA,NA
"132","mp.HC.HP.HF.4.popbal.1","mp","HC","HP","HF",4,"popbal",19,1,19,19,19
"133","mp.HC.HP.HF.4.sorsco.1","mp","HC","HP","HF",4,"sorsco",13,1,16,13,13
"134","mp.HC.HP.HF.4.symalb.1","mp","HC","HP","HF",4,"symalb",10,1,26,10,10
"135","mp.HC.HP.HF.4.vacmem.1","mp","HC","HP","HF",4,"vacmem",16,1,NA,NA,16
"136","mp.HC.HP.HF.40.alnvir.1","mp","HC","HP","HF",40,"alnvir",19,1,22,22,19
"137","mp.HC.HP.HF.40.corsto.1","mp","HC","HP","HF",40,"corsto",10,1,19,10,10
"138","mp.HC.HP.HF.40.spipyr.1","mp","HC","HP","HF",40,"spipyr",10,1,NA,26,10
"139","mp.HC.HP.HF.40.vibedu.1","mp","HC","HP","HF",40,"vibedu",10,1,NA,NA,10
"140","mp.HC.HP.HF.5.alnvir.1","mp","HC","HP","HF",5,"alnvir",34,1,57,57,34
"141","mp.HC.HP.HF.5.corsto.1","mp","HC","HP","HF",5,"corsto",7,1,10,10,7
"142","mp.HC.HP.HF.5.menfer.1","mp","HC","HP","HF",5,"menfer",40,1,72,48,40
"143","mp.HC.HP.HF.5.symalb.1","mp","HC","HP","HF",5,"symalb",10,1,NA,13,10
"144","mp.HC.HP.HF.6.loninv.1","mp","HC","HP","HF",6,"loninv",5,1,NA,NA,NA
"145","mp.HC.HP.HF.6.rubpar.1","mp","HC","HP","HF",6,"rubpar",19,1,NA,31,19
"146","mp.HC.HP.HF.6.spipyr.1","mp","HC","HP","HF",6,"spipyr",7,1,7,7,7
"147","mp.HC.HP.HF.6.symalb.1","mp","HC","HP","HF",6,"symalb",10,1,NA,10,10
"148","mp.HC.HP.HF.7.alnvir.1","mp","HC","HP","HF",7,"alnvir",31,1,48,31,31
"149","mp.HC.HP.HF.7.popbal.1","mp","HC","HP","HF",7,"popbal",19,1,19,19,19
"150","mp.HC.HP.HF.7.rubpar.1","mp","HC","HP","HF",7,"rubpar",19,1,NA,19,19
"151","mp.HC.HP.HF.7.shecan.1","mp","HC","HP","HF",7,"shecan",16,1,28,26,16
"152","mp.HC.HP.HF.8.acegla.1","mp","HC","HP","HF",8,"acegla",19,1,NA,34,31
"153","mp.HC.HP.HF.8.alninc.1","mp","HC","HP","HF",8,"alninc",10,1,16,13,13
"154","mp.HC.HP.HF.8.poptre.1","mp","HC","HP","HF",8,"poptre",31,1,NA,37,31
"155","mp.HC.HP.HF.8.rubpar.1","mp","HC","HP","HF",8,"rubpar",19,1,NA,19,19
"156","mp.HC.HP.HF.9.corsto.1","mp","HC","HP","HF",9,"corsto",8,1,10,8,8
"157","mp.HC.HP.HF.9.riblac.1","mp","HC","HP","HF",9,"riblac",19,1,NA,NA,19
"158","mp.HC.HP.HF.9.rubpar.1","mp","HC","HP","HF",9,"rubpar",19,1,NA,NA,19
"159","mp.HC.HP.HF.9.vacmem.1","mp","HC","HP","HF",9,"vacmem",13,1,NA,NA,13
"160","mp.HC.HP.LF.1.amealn.1","mp","HC","HP","LF",1,"amealn",20,1,22,22,20
"161","mp.HC.HP.LF.1.menfer.1","mp","HC","HP","LF",1,"menfer",49,1,NA,82,49
"162","mp.HC.HP.LF.1.shecan.1","mp","HC","HP","LF",1,"shecan",22,1,27,27,22
"163","mp.HC.HP.LF.1.shecan.2","mp","HC","HP","LF",1,"shecan",22,1,NA,36,27
"164","mp.HC.HP.LF.10.alninc.1","mp","HC","HP","LF",10,"alninc",24,1,NA,NA,NA
"165","mp.HC.HP.LF.10.menfer.1","mp","HC","HP","LF",10,"menfer",43,1,49,43,43
"166","mp.HC.HP.LF.10.popbal.1","mp","HC","HP","LF",10,"popbal",27,1,NA,NA,NA
"167","mp.HC.HP.LF.10.popbal.2","mp","HC","HP","LF",10,"popbal",27,1,36,36,36
"168","mp.HC.HP.LF.11.amealn.1","mp","HC","HP","LF",11,"amealn",13,1,20,20,20
"169","mp.HC.HP.LF.11.popbal.1","mp","HC","HP","LF",11,"popbal",27,1,NA,NA,NA
"170","mp.HC.HP.LF.11.shecan.1","mp","HC","HP","LF",11,"shecan",20,1,33,30,20
"171","mp.HC.HP.LF.11.symalb.1","mp","HC","HP","LF",11,"symalb",16,1,33,20,16
"172","mp.HC.HP.LF.12.poptre.1","mp","HC","HP","LF",12,"poptre",NA,0,NA,NA,NA
"173","mp.HC.HP.LF.12.samrac.1","mp","HC","HP","LF",12,"samrac",20,1,NA,NA,NA
"174","mp.HC.HP.LF.12.shecan.1","mp","HC","HP","LF",12,"shecan",24,1,NA,43,27
"175","mp.HC.HP.LF.12.spibet.1","mp","HC","HP","LF",12,"spibet",17,1,NA,NA,17
"176","mp.HC.HP.LF.13.acegla.1","mp","HC","HP","LF",13,"acegla",27,1,NA,NA,NA
"177","mp.HC.HP.LF.13.alninc.1","mp","HC","HP","LF",13,"alninc",16,1,20,20,16
"178","mp.HC.HP.LF.13.rhoalb.1","mp","HC","HP","LF",13,"rhoalb",16,1,NA,NA,27
