day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.l,percent4.l,
16,mp,LHH,NA,13,loninv,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,13,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,13,vacmem,3,100,12,1,30,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,13,alnvir,0,100,2,1,10,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,13,corsto,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,13,rubpar,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,14,rhoalb,7,100,4,1,50,0,50,NA,NA,6,NA,NA,NA,
16,mp,LHH,NA,14,sorsco,0,100,1,1,25,0,75,NA,NA,8,NA,NA,NA,
16,mp,LHH,NA,14,symalb,NA,NA,NA,1,100,NA,NA,NA,NA,17,NA,NA,NA,
16,mp,LHH,NA,14,vibedu,3,100,1,3,100,NA,NA,NA,NA,6,NA,NA,NA,
16,sm,LHH,10,14,acegla,3,100,3,1,100,NA,NA,NA,NA,13,NA,NA,NA,
16,sm,LHH,4,14,alninc,NA,100,1,1,100,NA,NA,NA,NA,4,NA,NA,NA,
16,sm,LHH,3,14,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,unknown,15,acegla,7,10,3,1,20,NA,NA,NA,NA,NA,NA,1,60,
16,mp,LHH,NA,15,amealn,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,15,menfer,1,20,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,15,rhoalb,1,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,15,samrac,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,15,menfer,1,25,4,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,15,rubpar,1,100,2,1,90,0,10,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,15,shecan,7,50,2,7,40,3,60,NA,NA,NA,65,3,50,
16,sm,LHH,NA,15,spipyr,1,100,NA,3,60,1,40,NA,NA,9,NA,NA,NA,
16,mp,LHH,8,16,corsto,10,100,1,9,50,7,30,1,20,6,NA,NA,NA,
16,mp,LHH,3,16,rhoalb,1,100,2,1,40,0,60,NA,13,NA,NA,NA,NA,
16,mp,LHH,8,16,riblac,3,100,5,3,80,1,10,0,10,NA,NA,NA,NA,
16,mp,LHH,tml,16,spibet,1,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,2,16,alninc,3,100,3,3,35,1,20,0,45,NA,NA,NA,NA,
16,sm,LHH,10,16,alnvir,1,100,2,1,55,0,45,NA,NA,7,NA,NA,NA,
16,sm,LHH,11,16,corsto,15,100,1,10,50,7,25,3,25,NA,NA,NA,NA,
16,sm,LHH, oc21,16,vacmem,7,50,NA,7,30,3,60,1,10,NA,NA,NA,NA,
16,mp,LHH,bLL,17,alninc,3,100,1,1,100,NA,NA,NA,NA,6,NA,NA,NA,
16,mp,LHH,7,17,amealn,1,100,7,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,14,17,sorsco,1,100,1,3,25,0,75,NA,NA,NA,NA,NA,NA,
16,mp,LHH,10,17,vibedu,7,66,3,3,95,1,5,NA,NA,14,NA,3,33,
16,sm,LHH,8,17,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,,17,sorsco,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,,17,spibet,1,100,1,10,15,7,30,3,50,NA,NA,NA,NA,
16,sm,LHH,,17,symalb,NA,NA,NA,3,10,1,40,0,50,NA,NA,NA,NA,
16,sm,LHH,3,17,vibedu,9,100,2,10,15,7,25,3,40,13,NA,NA,NA,
16,mp,LHH,NA,18,loninv,3,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,18,riblac,7,100,2,7,30,3,60,1,10,NA,NA,NA,NA,
16,mp,LHH,branched,18,spipyr,7,100,NA,3,20,1,30,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,18,spipyr,1,100,1,3,20,1,30,0,50,NA,NA,NA,NA,
16,sm,LHH,NA,18,amealn,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,18,loninv,3,100,1,1,65,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,added one,18,sorsco,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,18,sorsco,9,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,18,symalb,NA,NA,NA,0,100,2,0,100,NA,NA,NA,NA,NA,
16,mp,LHH,NA,19,acegla,3,100,3,1,60,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,5,19,alnvir,3,100,2,3,75,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,7,19,alnvir,3,100,4,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,19,samrac,1,50,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,19,acegla,3,100,1,3,70,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,19,poptre,0,100,6,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,19,riblac,1,90,9,1,60,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,19,sorsco,0,100,1,3,33,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,19,spibet,7,100,4,7,40,3,25,1,20,NA,NA,NA,NA,
16,mp,LHH,NA,20,acegla,1,80,10,1,50,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,20,poptre,1,80,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,20,rhoalb,7,50,4,3,50,1,50,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,20,riblac,3,100,7,3,75,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,20,sorsco,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,20,spibet,0,100,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,20,symalb,NA,NA,NA,1,30,0,70,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,20,vacmem,3,80,12,3,30,1,30,0,40,NA,NA,NA,NA,
16,sm,LHH,NA,20,alnvir,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,20,betpap,1,70,3,1,75,0,25,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,20,rubpar,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,4,21,acegla,1,100,3,1,50,0,50,NA,NA,14,NA,NA,NA,
16,mp,LHH,7,21,menfer,1,100,12,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,11,21,rhoalb,7,100,6,3,30,1,50,0,20,18,NA,NA,NA,
16,mp,LHH,,21,spipyr,3,100,1,7,50,3,50,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,21,alninc,3,50,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,7,21,amealn,7,100,1,7,30,3,40,1,30,7,NA,NA,NA,
16,sm,LHH,NA,21,amealn,7,100,1,7,85,3,15,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,21,menfer,1,80,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,22,acegla,3,100,1,3,90,1,10,NA,NA,NA,NA,NA,NA,
16,mp,LHH,9,22,alninc,1,100,1,0,100,NA,NA,NA,NA,10,NA,NA,NA,
