site,abbrev,asorscoignment,flask
sm,vibedu,HC_HP_LF,T21--2
sm,menfer,HC_HP_LF,T22--8
sm,menfer,HC_HP_LF,T22-1
sm,symalb,HC_HP_LF,T22-cl
sm,vacmem,HC_HP_LF,T22-oct25
sm,betpap,HC_HP_LF,T23-11
sm,riblac,HC_HP_LF,T23-11
sm,rubpar,HC_HP_LF,T23-cl
sm,symalb,HC_HP_LF,T23-cl
sm,acegla,HC_HP_LF,T24--14
sm,menfer,HC_HP_LF,T24--1
sm,popbal,HC_HP_LF,T24--12
sm,acegla,HC_HP_LF,T25--5
sm,betpap,HC_HP_LF,T25--9
sm,corsto,HC_HP_LF,T25--9
sm,vibedu,HC_HP_LF,T25--11
sm,alninc,HC_HP_LF,T26-3
sm,alnvir,HC_HP_LF,T26-2
sm,menfer,HC_HP_LF,T26-#3
sm,popbal,HC_HP_LF,T26-12
sm,alninc,HC_HP_LF,T27-1
sm,corsto,HC_HP_LF,T27-11
sm,poptre,HC_HP_LF,T27-7
sm,symalb,HC_HP_LF,T27-3
sm,corsto,HC_HP_LF,T28-13
sm,loninv,HC_HP_LF,T28-5-branched
sm,loninv,HC_HP_LF,T28-10
sm,rubpar,HC_HP_LF,T28
sm,poptre,HC_HP_LF,T29-2
sm,spipyr,HC_HP_LF,T29
sm,shecan,HC_HP_LF,T29--10
sm,vibedu,HC_HP_LF,T29-3
sm,betpap,HC_HP_LF,T3-6
sm,sorsco,HC_HP_LF,T3-xx
sm,sorsco,HC_HP_LF,T3-xx
sm,shecan,HC_HP_LF,T3-12
sm,vacmem,HC_HP_LF,T3-oct25
sm,corsto,HC_HP_LF,T30-13
sm,poptre,HC_HP_LF,T30-B
sm,rubpar,HC_HP_LF,T30
sm,spipyr,HC_HP_LF,T30-b38
sm,alninc,HC_HP_LF,T31-5
sm,loninv,HC_HP_LF,T31-A
sm,menfer,HC_HP_LF,T31-9
sm,rubpar,HC_HP_LF,T31-w/ 10
sm,alnvir,HC_HP_LF,T32-10
sm,riblac,HC_HP_LF,T32-A
sm,sorsco,HC_HP_LF,T32-12
sm,vacmem,HC_HP_LF,T32-oct21
sm,popbal,HC_HP_LF,T33-onion E
sm,symalb,HC_HP_LF,T33
sm,spipyr,HC_HP_LF,T33
sm,symalb,HC_HP_LF,T33
sm,riblac,HC_HP_LF,T34-D
sm,symalb,HC_HP_LF,T34
sm,sorsco,HC_HP_LF,T34-xx
sm,spipyr,HC_HP_LF,T34
sm,alnvir,HC_HP_LF,T35-10
sm,riblac,HC_HP_LF,T35-6
sm,spibet,HC_HP_LF,T35-A25
sm,amealn,HC_HP_LF,T36-5
sm,spipyr,HC_HP_LF,T36--b28
sm,spipyr,HC_HP_LF,T36--b30
sm,sorsco,HC_HP_LF,T36-12
sm,amealn,HC_HP_LF,T37-7
sm,poptre,HC_HP_LF,T37-8
sm,vibedu,HC_HP_LF,T37-A
sm,shecan,HC_HP_LF,T37-10
sm,alninc,HC_HP_LF,T38-5
sm,alnvir,HC_HP_LF,T38-19
sm,riblac,HC_HP_LF,T38-11
sm,riblac,HC_HP_LF,T38-12
sm,loninv,HC_HP_LF,T39-10
sm,rubpar,HC_HP_LF,T39
sm,symalb,HC_HP_LF,T39
sm,sorsco,HC_HP_LF,T39
sm,alninc,HC_HP_LF,T4- 5
sm,poptre,HC_HP_LF,T4-7
sm,rubpar,HC_HP_LF,T4-w/10
sm,sorsco,HC_HP_LF,T4-5
sm,alninc,HC_HP_LF,T40-1
sm,alnvir,HC_HP_LF,T40-1
sm,spibet,HC_HP_LF,T40-A14
