chamber,date_time,temp,day_night,callibration,force
12,2019-12-31 10:08,20.519,day,1.705,high
12,2019-12-31 11:08,21.473,day,1.705,high
12,2019-12-31 12:08,21.664,day,1.705,high
12,2019-12-31 13:08,21.664,day,1.705,high
12,2019-12-31 14:08,21.664,day,1.705,high
12,2019-12-31 15:08,21.76,day,1.705,high
12,2019-12-31 16:08,21.76,day,1.705,high
12,2019-12-31 17:08,22.333,day,1.705,high
12,2019-12-31 18:08,21.855,day,1.705,high
12,2019-12-31 19:08,21.855,day,1.705,high
12,2019-12-31 20:08,21.569,day,1.705,high
12,2019-12-31 21:08,16.713,transition,1.705,high
12,2019-12-31 22:08,11.041,night,1.705,high
12,2019-12-31 23:08,10.553,night,1.705,high
12,2020-01-01 0:08,10.553,night,1.705,high
12,2020-01-01 1:08,10.553,night,1.705,high
12,2020-01-01 2:08,10.553,night,1.705,high
12,2020-01-01 3:08,10.553,night,1.705,high
12,2020-01-01 4:08,10.553,night,1.705,high
12,2020-01-01 5:08,10.455,night,1.705,high
12,2020-01-01 6:08,10.455,night,1.705,high
12,2020-01-01 7:08,10.455,night,1.705,high
12,2020-01-01 8:08,10.651,night,1.705,high
12,2020-01-01 9:08,15.569,transition,1.705,high
12,2020-01-01 10:08,21.664,day,1.705,high
12,2020-01-01 11:08,21.951,day,1.705,high
12,2020-01-01 12:08,22.046,day,1.705,high
12,2020-01-01 13:08,21.855,day,1.705,high
12,2020-01-01 14:08,21.855,day,1.705,high
12,2020-01-01 15:08,21.951,day,1.705,high
12,2020-01-01 16:08,21.951,day,1.705,high
12,2020-01-01 17:08,21.951,day,1.705,high
12,2020-01-01 18:08,21.951,day,1.705,high
12,2020-01-01 19:08,22.046,day,1.705,high
12,2020-01-01 20:08,21.664,day,1.705,high
12,2020-01-01 21:08,16.903,transition,1.705,high
12,2020-01-01 22:08,11.041,night,1.705,high
12,2020-01-01 23:08,10.553,night,1.705,high
12,2020-01-02 0:08,10.553,night,1.705,high
12,2020-01-02 1:08,10.553,night,1.705,high
12,2020-01-02 2:08,10.553,night,1.705,high
12,2020-01-02 3:08,10.455,night,1.705,high
12,2020-01-02 4:08,10.455,night,1.705,high
12,2020-01-02 5:08,10.455,night,1.705,high
12,2020-01-02 6:08,10.357,night,1.705,high
12,2020-01-02 7:08,10.455,night,1.705,high
12,2020-01-02 8:08,10.651,night,1.705,high
12,2020-01-02 9:08,15.569,transition,1.705,high
12,2020-01-02 10:08,21.76,day,1.705,high
12,2020-01-02 11:08,22.238,day,1.705,high
12,2020-01-02 12:08,22.142,day,1.705,high
12,2020-01-02 13:08,22.046,day,1.705,high
12,2020-01-02 14:08,22.142,day,1.705,high
12,2020-01-02 15:08,22.621,day,1.705,high
12,2020-01-02 16:08,22.238,day,1.705,high
12,2020-01-02 17:08,21.951,day,1.705,high
12,2020-01-02 18:08,21.664,day,1.705,high
12,2020-01-02 19:08,21.569,day,1.705,high
12,2020-01-02 20:08,21.282,day,1.705,high
12,2020-01-02 21:08,16.618,transition,1.705,high
12,2020-01-02 22:08,11.041,night,1.705,high
12,2020-01-02 23:08,10.651,night,1.705,high
12,2020-01-03 0:08,10.455,night,1.705,high
12,2020-01-03 1:08,10.455,night,1.705,high
12,2020-01-03 2:08,10.553,night,1.705,high
12,2020-01-03 3:08,10.357,night,1.705,high
12,2020-01-03 4:08,10.455,night,1.705,high
12,2020-01-03 5:08,10.455,night,1.705,high
12,2020-01-03 6:08,10.455,night,1.705,high
12,2020-01-03 7:08,10.455,night,1.705,high
12,2020-01-03 8:08,10.651,night,1.705,high
12,2020-01-03 9:08,15.282,transition,1.705,high
12,2020-01-03 10:08,21.187,day,1.705,high
12,2020-01-03 11:08,22.142,day,1.705,high
12,2020-01-03 12:08,21.951,day,1.705,high
12,2020-01-03 13:08,21.951,day,1.705,high
12,2020-01-03 14:08,21.951,day,1.705,high
12,2020-01-03 15:08,21.951,day,1.705,high
12,2020-01-03 16:08,21.855,day,1.705,high
12,2020-01-03 17:08,21.855,day,1.705,high
12,2020-01-03 18:08,21.855,day,1.705,high
12,2020-01-03 19:08,21.951,day,1.705,high
12,2020-01-03 20:08,21.569,day,1.705,high
12,2020-01-03 21:08,16.713,transition,1.705,high
12,2020-01-03 22:08,10.944,night,1.705,high
12,2020-01-03 23:08,10.553,night,1.705,high
12,2020-01-04 0:08,10.553,night,1.705,high
12,2020-01-04 1:08,10.553,night,1.705,high
12,2020-01-04 2:08,10.553,night,1.705,high
12,2020-01-04 3:08,10.553,night,1.705,high
12,2020-01-04 4:08,10.553,night,1.705,high
12,2020-01-04 5:08,10.455,night,1.705,high
