site,trt,indiv,flask,species
sm,HC_LP_HF,,3,sorsco
sm,HC_LP_HF,,3,sorsco
sm,HC_LP_HF,3,30,alninc
sm,HC_LP_HF,4,30,alninc
sm,HC_LP_HF,5,30,corso
sm,HC_LP_HF, wih 10,30,rubpar
sm,HC_LP_HF,6,31,alnvir
sm,HC_LP_HF,9,31,menfer
sm,HC_LP_HF,12,31,sorsco
sm,HC_LP_HF,5,32,amealn
sm,HC_LP_HF,12,32,menfer
sm,HC_LP_HF,,32,symalb
sm,HC_LP_HF,1,32,sorsco
sm,HC_LP_HF, C,33,corso
sm,HC_LP_HF,10,33,popre
sm,HC_LP_HF, BB1,33,spibe
sm,HC_LP_HF,10,33,shecan
sm,HC_LP_HF,3,34,amealn
sm,HC_LP_HF, cl,34,rubpar
sm,HC_LP_HF, cl,34,rubpar
sm,HC_LP_HF, B32,34,spipyr
sm,HC_LP_HF, A,35,amealn
sm,HC_LP_HF, cl,35,rubpar
sm,HC_LP_HF, A33,35,spibe
sm,HC_LP_HF,1,35,sorsco
sm,HC_LP_HF,11,36,acegla
sm,HC_LP_HF, B,36,bepap
sm,HC_LP_HF,3,36,popbal
sm,HC_LP_HF, area w/9,36,spipyr
sm,HC_LP_HF,2,37,bepap
sm,HC_LP_HF, oc25,37,vacmem
sm,HC_LP_HF, oc25,37,vacmem
sm,HC_LP_HF, oc25,37,vacmem
sm,HC_LP_HF,1,38,alninc
sm,HC_LP_HF,8,38,popbal
sm,HC_LP_HF, A20,38,spibe
sm,HC_LP_HF, B20,38,spipyr
sm,HC_LP_HF, A,39,amealn
sm,HC_LP_HF,2,39,menfer
sm,HC_LP_HF, cl,39,symalb
sm,HC_LP_HF, oc25,39,vacmem
sm,HC_LP_HF,7,4,amealn
sm,HC_LP_HF,10,4,alnvir
sm,HC_LP_HF, cl,4,rubpar
sm,HC_LP_HF, Oc21,4,vacmem
sm,HC_LP_HF,14,40,acegla
sm,HC_LP_HF,11,40,riblac
sm,HC_LP_HF,11,40,sorsco
sm,HC_LP_HF,14,5,acegla
sm,HC_LP_HF,5,5,loninv
sm,HC_LP_HF, A8,5,spibe
sm,HC_LP_HF,10,5,vacmem
sm,HC_LP_HF,6,6,alnvir
sm,HC_LP_HF,11,6,bepap
sm,HC_LP_HF,5,6,vibedu
sm,HC_LP_HF,6,6,vibedu
sm,HC_LP_HF,6,7,amealn
sm,HC_LP_HF,10,7,corso
sm,HC_LP_HF,5,7,popbal
sm,HC_LP_HF,12,7,sorsco
sm,HC_LP_HF,5,8,loninv
sm,HC_LP_HF,,8,vibedu
sm,HC_LP_HF, oc25,8,vacmem
sm,HC_LP_HF,7,8,shecan
sm,HC_LP_HF,7,9,amealn
sm,HC_LP_HF,10,9,acegla
sm,HC_LP_HF,11,9,loninv
sm,HC_LP_HF, A3,9,spibe
sm,HC_LP_LF,4,1,alninc
sm,HC_LP_LF,11,1,loninv
sm,HC_LP_LF,5,1,sorsco
sm,HC_LP_LF,6,10,bepap
sm,HC_LP_LF,8,10,menfer
sm,HC_LP_LF, A36,10,spibe
sm,HC_LP_LF, b35,10,spipyr
sm,HC_LP_LF,12,11,menfer
sm,HC_LP_LF,,11,rubpar
sm,HC_LP_LF,,11,spibe
sm,HC_LP_LF,6,11,shecan
sm,HC_LP_LF,11,12,acegla
sm,HC_LP_LF, B,12,bepap
sm,HC_LP_LF,11,12,popre
sm,HC_LP_LF,10,13,loninv
sm,HC_LP_LF, xx,13,sorsco
sm,HC_LP_LF,3,13,vibedu
sm,HC_LP_LF,11,13,shecan
sm,HC_LP_LF,6,14,amealn
sm,HC_LP_LF,6,14,alnvir
sm,HC_LP_LF, oc21,14,vacmem
sm,HC_LP_LF,10,15,loninv
sm,HC_LP_LF,,15,symalb
sm,HC_LP_LF,,15,spibe
sm,HC_LP_LF,,15,spipyr
sm,HC_LP_LF,13,16,menfer
sm,HC_LP_LF,,16,spipyr
sm,HC_LP_LF,3,16,vibedu
sm,HC_LP_LF,8,16,shecan
sm,HC_LP_LF,6,17,alnvir
sm,HC_LP_LF,5,17,bepap
sm,HC_LP_LF,12,17,sorsco
sm,HC_LP_LF,11,17,sorsco
sm,HC_LP_LF,13,18,menfer
sm,HC_LP_LF, 3b,18,riblac
sm,HC_LP_LF,,18,spibe
sm,HC_LP_LF,,18,spibe
sm,HC_LP_LF, A,19,bepap
sm,HC_LP_LF,,19,sorsco
sm,HC_LP_LF,3,19,vibedu
sm,HC_LP_LF,12,19,shecan
sm,HC_LP_LF,7,2,amealn
sm,HC_LP_LF,10,,corso
sm,HC_LP_LF,3,2,riblac
sm,HC_LP_LF, B28,2,spipyr
sm,HC_LP_LF, C,20,corso
sm,HC_LP_LF,10,20,loninv
sm,HC_LP_LF,8,20,popbal
sm,HC_LP_LF, xx,20,sorsco
sm,HC_LP_LF, D,21,riblac
sm,HC_LP_LF,,21,rubpar
sm,HC_LP_LF, E,21,vibedu
sm,HC_LP_LF, oc21,21,vacmem
sm,HC_LP_LF, D,22,riblac
sm,HC_LP_LF,,22,shecan8
sm,HC_LP_LF, oc21,22,vacmem
sm,HC_LP_LF,3,23,amealn
sm,HC_LP_LF,1,23,alninc
sm,HC_LP_LF,8,23,popbal
sm,HC_LP_LF, cl,23,rubpar
sm,HC_LP_LF,,24,popbal
sm,HC_LP_LF,,24,popre
sm,HC_LP_LF,,24,symalb
sm,HC_LP_LF,,24,sorsco
sm,HC_LP_LF,13,25,acegla
sm,HC_LP_LF,11,25,riblac
sm,HC_LP_LF, b8,25,spipyr
sm,HC_LP_LF,2,25,vibedu
sm,HC_LP_LF,6,26,bepap
sm,HC_LP_LF,8,26,popre
sm,HC_LP_LF,,26,symalb
sm,HC_LP_LF, XX,26,sorsco
sm,HC_LP_LF, D,27,riblac
sm,HC_LP_LF,,27,symalb
sm,HC_LP_LF,,27,spibe
sm,HC_LP_LF, oc21,27,vacmem
sm,HC_LP_LF,6,28,amealn
sm,HC_LP_LF, A,28,amealn
sm,HC_LP_LF,10,28,shecan
sm,HC_LP_LF,5,28,loninv
sm,HC_LP_LF, B26,28,spipyr
sm,HC_LP_LF,3,29,alninc
sm,HC_LP_LF,4,29,alninc
sm,HC_LP_LF, a,29,bepap
sm,HC_LP_LF, b,29,bepap
sm,HC_LP_LF,7,3,loninv
sm,HC_LP_LF, A,3,popbal
sm,HC_LP_LF,3,3,riblac
sm,HC_LP_LF, xx,3,sorsco
