site,flask_id,indiv
mp,alnvir_HC_LP_HF_25,1
mp,corsto_HC_LP_HF_25,9
mp,riblac_HC_LP_HF_25,3
mp,shecan_HC_LP_HF_25,11
mp,alninc_HC_LP_HF_26,5
mp,alnvir_HC_LP_HF_26,2
mp,loninv_HC_LP_HF_26,8
mp,popbal_HC_LP_HF_26,6
mp,loninv_HC_LP_HF_27,
mp,shecan_HC_LP_HF_27,
mp,spibet_HC_LP_HF_27,
mp,vibedu_HC_LP_HF_27,
mp,corsto_HC_LP_HF_28,10
mp,rubpar_HC_LP_HF_28,sg
mp,sorsco_HC_LP_HF_28,ll
mp,spipyr_HC_LP_HF_28,wjt
mp,amealn_HC_LP_HF_29,6
mp,amealn_HC_LP_HF_29,7
mp,menfer_HC_LP_HF_29,4
mp,menfer_HC_LP_HF_29,10
mp,menfer_HC_LP_HF_3,A
mp,poptre_HC_LP_HF_3,5
mp,rhoalb_HC_LP_HF_3,11
mp,vacmem_HC_LP_HF_3,A
mp,loninv_HC_LP_HF_30,8
mp,rhoalb_HC_LP_HF_30,1
mp,rubpar_HC_LP_HF_30,sg
mp,samrac_HC_LP_HF_30,3
mp,alnvir_HC_LP_HF_31,1
mp,shecan_HC_LP_HF_31,9
mp,shecan_HC_LP_HF_31,10
mp,symalb_HC_LP_HF_31,eg
mp,popbal_HC_LP_HF_32,8
mp,shecan_HC_LP_HF_32,4
mp,spibet_HC_LP_HF_32,wjt
mp,vibedu_HC_LP_HF_32,11
mp,riblac_HC_LP_HF_33,asf
mp,rubpar_HC_LP_HF_33,9
mp,rubpar_HC_LP_HF_33,9
mp,vacmem_HC_LP_HF_33,ll
mp,alninc_HC_LP_HF_34,5
mp,alninc_HC_LP_HF_34,9
mp,corsto_HC_LP_HF_34,2
mp,sorsco_HC_LP_HF_34,10
mp,acegla_HC_LP_HF_35,5
mp,alnvir_HC_LP_HF_35,1
mp,rubpar_HC_LP_HF_35,sf
mp,spipyr_HC_LP_HF_35,
mp,amealn_HC_LP_HF_36,1
mp,corsto_HC_LP_HF_36,2
mp,spipyr_HC_LP_HF_36,wjt
mp,symalb_HC_LP_HF_36,wjt
mp,poptre_HC_LP_HF_37,6
mp,rubpar_HC_LP_HF_37,sg
mp,spibet_HC_LP_HF_37,4
mp,spipyr_HC_LP_HF_37,wjt
mp,riblac_HC_LP_HF_38,Asfd
mp,samrac_HC_LP_HF_38,Ase
mp,samrac_HC_LP_HF_38,6
mp,sorsco_HC_LP_HF_38,4
mp,menfer_HC_LP_HF_39,9
mp,popbal_HC_LP_HF_39,6
mp,popbal_HC_LP_HF_39,8
mp,rhoalb_HC_LP_HF_39,9
mp,acegla_HC_LP_HF_4,5
mp,amealn_HC_LP_HF_4,2
mp,popbal_HC_LP_HF_4,2
mp,riblac_HC_LP_HF_4,3
mp,alnvir_HC_LP_HF_40,6
mp,amealn_HC_LP_HF_40,2
mp,rubpar_HC_LP_HF_40,sg
mp,vibedu_HC_LP_HF_40,4
