"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"VIBLAN09_HF_08","VIBLAN09_HF_08_HC_HP_HF","HF","WL2","HC","HF","HP","VIBLAN",60,60
"VIBLAN09_HF_09","VIBLAN09_HF_09_HC_LP_LF","HF","CS2","HC","LF","LP","VIBLAN",77,63
"VIBLAN09_HF_10","VIBLAN09_HF_10_LC_LP_HF","HF","WS1","LC","HF","LP","VIBLAN",57,57
"VIBLAN09_HF_11","VIBLAN09_HF_11_LC_HP_LF","HF","CL1","LC","LF","HP","VIBLAN",55,55
"VIBLAN09_HF_12","VIBLAN09_HF_12_LC_LP_LF","HF","CS1","LC","LF","LP","VIBLAN",56,63
"VIBLAN09_SH_03","VIBLAN09_SH_03_LC_HP_HF","SH","WL1","LC","HF","HP","VIBLAN",46,57
"VIBLAN09_SH_05","VIBLAN09_SH_05_chill0_LP_LF","SH","CS0","chill0","LF","LP","VIBLAN",39,33
"VIBLAN09_SH_06","VIBLAN09_SH_06_LC_LP_HF","SH","WS1","LC","HF","LP","VIBLAN",49,57
"VIBLAN09_SH_07","VIBLAN09_SH_07_HC_LP_LF","SH","CS2","HC","LF","LP","VIBLAN",50,56
"VIBLAN09_SH_08","VIBLAN09_SH_08_LC_HP_LF","SH","CL1","LC","LF","HP","VIBLAN",46,46
"VIBLAN09_SH_09","VIBLAN09_SH_09_HC_HP_LF","SH","CL2","HC","LF","HP","VIBLAN",49,46
"VIBLAN09_SH_10","VIBLAN09_SH_10_HC_HP_HF","SH","WL2","HC","HF","HP","VIBLAN",53,53
"VIBLAN09_SH_11","VIBLAN09_SH_11_chill0_HP_LF","SH","CL0","chill0","LF","HP","VIBLAN",29,48
"VIBLAN10_HF_01","VIBLAN10_HF_01_LC_HP_LF","HF","CL1","LC","LF","HP","VIBLAN",84,55
"VIBLAN10_HF_02","VIBLAN10_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","VIBLAN",47,47
"VIBLAN10_HF_03","VIBLAN10_HF_03_LC_HP_HF","HF","WL1","LC","HF","HP","VIBLAN",50,71
"VIBLAN10_HF_04","VIBLAN10_HF_04_HC_HP_LF","HF","CL2","HC","LF","HP","VIBLAN",70,63
"VIBLAN10_HF_05","VIBLAN10_HF_05_HC_LP_HF","HF","WS2","HC","HF","LP","VIBLAN",89,83
"VIBLAN10_HF_06","VIBLAN10_HF_06_LC_LP_HF","HF","WS1","LC","HF","LP","VIBLAN",57,57
"VIBLAN10_HF_07","VIBLAN10_HF_07_chill0_LP_HF","HF","WS0","chill0","HF","LP","VIBLAN",34,12
"VIBLAN10_HF_08","VIBLAN10_HF_08_HC_HP_HF","HF","WL2","HC","HF","HP","VIBLAN",60,69
"VIBLAN10_HF_09","VIBLAN10_HF_09_chill0_HP_LF","HF","CL0","chill0","LF","HP","VIBLAN",40,43
"VIBLAN10_HF_10","VIBLAN10_HF_10_HC_LP_LF","HF","CS2","HC","LF","LP","VIBLAN",77,63
"VIBLAN10_HF_12","VIBLAN10_HF_12_LC_LP_LF","HF","CS1","LC","LF","LP","VIBLAN",63,63
"VIBLAN11_HF_04","VIBLAN11_HF_04_LC_LP_LF","HF","CS1","LC","LF","LP","VIBLAN",63,63
"VIBLAN11_HF_07","VIBLAN11_HF_07_HC_LP_HF","HF","WS2","HC","HF","LP","VIBLAN",64,74
"VIBLAN11_HF_10","VIBLAN11_HF_10_LC_LP_HF","HF","WS1","LC","HF","LP","VIBLAN",89,64
"VIBLAN11_HF_11","VIBLAN11_HF_11_LC_HP_HF","HF","WL1","LC","HF","HP","VIBLAN",46,71
"VIBLAN12_HF_01","VIBLAN12_HF_01_chill0_LP_HF","HF","WS0","chill0","HF","LP","VIBLAN",29,29
"VIBLAN12_HF_03","VIBLAN12_HF_03_LC_HP_HF","HF","WL1","LC","HF","HP","VIBLAN",57,71
"VIBLAN12_HF_05","VIBLAN12_HF_05_chill0_HP_LF","HF","CL0","chill0","LF","HP","VIBLAN",34,32
"VIBLAN12_HF_07","VIBLAN12_HF_07_LC_HP_LF","HF","CL1","LC","LF","HP","VIBLAN",55,55
"VIBLAN12_HF_08","VIBLAN12_HF_08_chill0_HP_HF","HF","WL0","chill0","HF","HP","VIBLAN",26,26
"VIBLAN12_HF_10","VIBLAN12_HF_10_LC_LP_LF","HF","CS1","LC","LF","LP","VIBLAN",63,56
"VIBLAN12_HF_12","VIBLAN12_HF_12_chill0_LP_LF","HF","CS0","chill0","LF","LP","VIBLAN",68,47
"ACEPEN02_HF_01","ACEPEN02_HF_01_LC_LP_LF","HF","CS1","LC","LF","LP","ACEPEN",42,NA
"ACEPEN02_HF_03","ACEPEN02_HF_03_HC_LP_LF","HF","CS2","HC","LF","LP","ACEPEN",46,NA
"ACEPEN02_HF_06","ACEPEN02_HF_06_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACEPEN",27,NA
"ACEPEN02_HF_07","ACEPEN02_HF_07_HC_HP_LF","HF","CL2","HC","LF","HP","ACEPEN",46,NA
"ACEPEN02_HF_08","ACEPEN02_HF_08_LC_LP_HF","HF","WS1","LC","HF","LP","ACEPEN",49,NA
"ACEPEN02_HF_09","ACEPEN02_HF_09_HC_HP_HF","HF","WL2","HC","HF","HP","ACEPEN",47,NA
"ACEPEN02_HF_11","ACEPEN02_HF_11_LC_HP_HF","HF","WL1","LC","HF","HP","ACEPEN",41,NA
"ACEPEN02_HF_12","ACEPEN02_HF_12_LC_HP_LF","HF","CL1","LC","LF","HP","ACEPEN",41,NA
"ACEPEN03_HF_11","ACEPEN03_HF_11_HC_HP_LF","HF","CL2","HC","LF","HP","ACEPEN",46,NA
"ACEPEN04_HF_01","ACEPEN04_HF_01_HC_HP_HF","HF","WL2","HC","HF","HP","ACEPEN",47,NA
"ACEPEN04_HF_04","ACEPEN04_HF_04_LC_LP_HF","HF","WS1","LC","HF","LP","ACEPEN",49,NA
"ACEPEN04_HF_12","ACEPEN04_HF_12_HC_HP_LF","HF","CL2","HC","LF","HP","ACEPEN",46,NA
"ACEPEN04_SH_12","ACEPEN04_SH_12_chill0_HP_LF","SH","CL0","chill0","LF","HP","ACEPEN",32,NA
"ACEPEN06_SH_02","ACEPEN06_SH_02_HC_HP_HF","SH","WL2","HC","HF","HP","ACEPEN",53,NA
"ACEPEN06_SH_04","ACEPEN06_SH_04_chill0_LP_LF","SH","CS0","chill0","LF","LP","ACEPEN",21,NA
"ACEPEN06_SH_05","ACEPEN06_SH_05_HC_LP_LF","SH","CS2","HC","LF","LP","ACEPEN",46,NA
"ACEPEN06_SH_07","ACEPEN06_SH_07_LC_LP_LF","SH","CS1","LC","LF","LP","ACEPEN",42,NA
"ACEPEN06_SH_09","ACEPEN06_SH_09_HC_HP_LF","SH","CL2","HC","LF","HP","ACEPEN",46,NA
"ACEPEN06_SH_11","ACEPEN06_SH_11_HC_LP_HF","SH","WS2","HC","HF","LP","ACEPEN",46,NA
"ACEPEN06_SH_12","ACEPEN06_SH_12_LC_LP_HF","SH","WS1","LC","HF","LP","ACEPEN",49,NA
"ACEPEN07_SH_02","ACEPEN07_SH_02_HC_LP_HF","SH","WS2","HC","HF","LP","ACEPEN",57,NA
"ACEPEN07_SH_04","ACEPEN07_SH_04_LC_HP_HF","SH","WL1","LC","HF","HP","ACEPEN",46,NA
"ACEPEN07_SH_06","ACEPEN07_SH_06_LC_LP_HF","SH","WS1","LC","HF","LP","ACEPEN",49,NA
"ACEPEN07_SH_10","ACEPEN07_SH_10_HC_LP_LF","SH","CS2","HC","LF","LP","ACEPEN",50,NA
