"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"BETPAP06_SH_12","BETPAP06_SH_12_LC_LP_HF","SH","WS1","LC","HF","LP","BETPAP",NA,49
"BETPAP07_HF_01","BETPAP07_HF_01_HC_HP_HF","HF","WL2","HC","HF","HP","BETPAP",NA,60
"BETPAP08_SH_07","BETPAP08_SH_07_chill0_HP_LF","SH","CL0","chill0","LF","HP","BETPAP",NA,34
"BETPAP10_SH_03","BETPAP10_SH_03_chill0_LP_LF","SH","CS0","chill0","LF","LP","BETPAP",NA,21
"BETPAP10_SH_09","BETPAP10_SH_09_LC_LP_LF","SH","CS1","LC","LF","LP","BETPAP",NA,48
"BETPAP13_HF_04","BETPAP13_HF_04_HC_LP_LF","HF","CS2","HC","LF","LP","BETPAP",NA,56
"BETPAP15_HF_03","BETPAP15_HF_03_chill0_LP_HF","HF","WS0","chill0","HF","LP","BETPAP",NA,27
"BETPAP15_HF_04","BETPAP15_HF_04_chill0_HP_HF","HF","WL0","chill0","HF","HP","BETPAP",NA,26
"BETPAP15_HF_06","BETPAP15_HF_06_LC_LP_LF","HF","CS1","LC","LF","LP","BETPAP",NA,56
"BETPAP15_HF_08","BETPAP15_HF_08_HC_HP_HF","HF","WL2","HC","HF","HP","BETPAP",NA,47
"CORCOR01_HF_04","CORCOR01_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","CORCOR",NA,33
"CORCOR07_HF_03","CORCOR07_HF_03_chill0_LP_HF","HF","WS0","chill0","HF","LP","CORCOR",NA,27
"FAGGRA04_SH_01","FAGGRA04_SH_01_LC_LP_HF","SH","WS1","LC","HF","LP","FAGGRA",NA,57
"FAGGRA04_SH_03","FAGGRA04_SH_03_HC_LP_HF","SH","WS2","HC","HF","LP","FAGGRA",NA,89
"FAGGRA05_SH_11","FAGGRA05_SH_11_LC_HP_LF","SH","CL1","LC","LF","HP","FAGGRA",NA,90
"FAGGRA09_HF_06","FAGGRA09_HF_06_LC_HP_HF","HF","WL1","LC","HF","HP","FAGGRA",NA,64
"FAGGRA09_HF_08","FAGGRA09_HF_08_HC_HP_LF","HF","CL2","HC","LF","HP","FAGGRA",NA,63
"FAGGRA09_HF_09","FAGGRA09_HF_09_chill0_LP_HF","HF","WS0","chill0","HF","LP","FAGGRA",NA,34
"FAGGRA10_HF_09","FAGGRA10_HF_09_LC_HP_LF","HF","CL1","LC","LF","HP","FAGGRA",NA,84
"FAGGRA14_HF_05","FAGGRA14_HF_05_LC_HP_HF","HF","WL1","LC","HF","HP","FAGGRA",NA,71
"FAGGRA14_HF_09","FAGGRA14_HF_09_HC_HP_HF","HF","WL2","HC","HF","HP","FAGGRA",NA,60
"FRANIG05_SH_01","FRANIG05_SH_01_chill0_HP_LF","SH","CL0","chill0","LF","HP","FRANIG",NA,48
"HAMVIR07_HF_01","HAMVIR07_HF_01_chill0_HP_LF","HF","CL0","chill0","LF","HP","HAMVIR",NA,43
"LONCAN07_HF_02","LONCAN07_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","LONCAN",NA,53
"LYOLIG06_HF_03","LYOLIG06_HF_03_chill0_LP_LF","HF","CS0","chill0","LF","LP","LYOLIG",NA,39
"POPGRA04_SH_04","POPGRA04_SH_04_chill0_LP_HF","SH","WS0","chill0","HF","LP","POPGRA",NA,68
"POPGRA04_SH_06","POPGRA04_SH_06_HC_HP_LF","SH","CL2","HC","LF","HP","POPGRA",NA,70
"POPGRA04_SH_10","POPGRA04_SH_10_chill0_HP_HF","SH","WL0","chill0","HF","HP","POPGRA",NA,33
"POPGRA05_SH_04","POPGRA05_SH_04_chill0_HP_LF","SH","CL0","chill0","LF","HP","POPGRA",NA,48
"POPGRA07_HF_11","POPGRA07_HF_11_chill0_LP_LF","HF","CS0","chill0","LF","LP","POPGRA",NA,13
"PRUPEN08_SH_01","PRUPEN08_SH_01_chill0_HP_HF","SH","WL0","chill0","HF","HP","PRUPEN",NA,26
"PRUPEN08_SH_04","PRUPEN08_SH_04_chill0_LP_LF","SH","CS0","chill0","LF","LP","PRUPEN",NA,13
"QUERUB17_HF_10","QUERUB17_HF_10_HC_LP_HF","HF","WS2","HC","HF","LP","QUERUB",NA,64
"QUERUB23_HF_03","QUERUB23_HF_03_HC_LP_LF","HF","CS2","HC","LF","LP","QUERUB",NA,77
"QUERUB23_HF_07","QUERUB23_HF_07_chill0_HP_HF","HF","WL0","chill0","HF","HP","QUERUB",NA,33
"QUEVEL09_HF_03","QUEVEL09_HF_03_chill0_LP_HF","HF","WS0","chill0","HF","LP","QUEVEL",NA,56
"RHOPRI08_HF_02","RHOPRI08_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","RHOPRI",NA,68
"SPIALB01_HF_01","SPIALB01_HF_01_chill0_HP_LF","HF","CL0","chill0","LF","HP","SPIALB",NA,12
"SPIALB01_HF_02","SPIALB01_HF_02_chill0_LP_HF","HF","WS0","chill0","HF","LP","SPIALB",NA,26
"SPIALB01_HF_03","SPIALB01_HF_03_chill0_LP_LF","HF","CS0","chill0","LF","LP","SPIALB",NA,21
"SPIALB03_HF_01","SPIALB03_HF_01_chill0_LP_LF","HF","CS0","chill0","LF","LP","SPIALB",NA,33
"SPIALB03_HF_02","SPIALB03_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","SPIALB",NA,20
"SPIALB03_SH_02","SPIALB03_SH_02_chill0_LP_LF","SH","CS0","chill0","LF","LP","SPIALB",NA,68
"SPIALB03_SH_03","SPIALB03_SH_03_chill0_LP_HF","SH","WS0","chill0","HF","LP","SPIALB",NA,27
"SPIALB03_SH_04","SPIALB03_SH_04_chill0_HP_LF","SH","CL0","chill0","LF","HP","SPIALB",NA,20
"SPIALB04_HF_02","SPIALB04_HF_02_chill0_HP_HF","HF","WL0","chill0","HF","HP","SPIALB",NA,13
"SPIALB04_HF_04","SPIALB04_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","SPIALB",NA,13
"SPIALB05_HF_01","SPIALB05_HF_01_chill0_LP_LF","HF","CS0","chill0","LF","LP","SPIALB",NA,13
"SPIALB06_HF_01","SPIALB06_HF_01_chill0_HP_HF","HF","WL0","chill0","HF","HP","SPIALB",NA,18
"SPIALB06_HF_02","SPIALB06_HF_02_chill0_LP_HF","HF","WS0","chill0","HF","LP","SPIALB",NA,12
"SPIALB06_HF_03","SPIALB06_HF_03_chill0_HP_LF","HF","CL0","chill0","LF","HP","SPIALB",NA,29
"SPIALB06_HF_04","SPIALB06_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","SPIALB",NA,21
"SPIALB06_SH_04","SPIALB06_SH_04_chill0_HP_LF","SH","CL0","chill0","LF","HP","SPIALB",NA,20
"SPIALB07_SH_01","SPIALB07_SH_01_chill0_LP_LF","SH","CS0","chill0","LF","LP","SPIALB",NA,21
"SPIALB99_SH_02","SPIALB99_SH_02_chill0_LP_HF","SH","WS0","chill0","HF","LP","SPIALB",NA,18
"SPIALB99_SH_02","SPIALB99_SH_02_chill0_HP_LF","SH","CL0","chill0","LF","HP","SPIALB",NA,12
"SPIALB99_SH_03","SPIALB99_SH_03_chill0_LP_LF","SH","CS0","chill0","LF","LP","SPIALB",NA,21
"SPIALB99_SH_03","SPIALB99_SH_03_chill0_LP_HF","SH","WS0","chill0","HF","LP","SPIALB",NA,18
"VIBCAS01_SH_08","VIBCAS01_SH_08_HC_HP_HF","SH","WL2","HC","HF","HP","VIBCAS",NA,47
"VIBCAS01_SH_10","VIBCAS01_SH_10_chill0_HP_HF","SH","WL0","chill0","HF","HP","VIBCAS",NA,13
"VIBCAS02_HF_01","VIBCAS02_HF_01_chill0_HP_LF","HF","CL0","chill0","LF","HP","VIBCAS",NA,12
"VIBCAS04_SH_03","VIBCAS04_SH_03_HC_HP_HF","SH","WL2","HC","HF","HP","VIBCAS",NA,47
"VIBCAS05_SH_05","VIBCAS05_SH_05_LC_LP_HF","SH","WS1","LC","HF","LP","VIBCAS",NA,49
"VIBCAS05_SH_09","VIBCAS05_SH_09_chill0_LP_HF","SH","WS0","chill0","HF","LP","VIBCAS",NA,18
"VIBCAS06_SH_01","VIBCAS06_SH_01_HC_LP_LF","SH","CS2","HC","LF","LP","VIBCAS",NA,56
"VIBCAS06_SH_08","VIBCAS06_SH_08_HC_HP_LF","SH","CL2","HC","LF","HP","VIBCAS",NA,56
"VIBCAS08_HF_01","VIBCAS08_HF_01_chill0_LP_HF","HF","WS0","chill0","HF","LP","VIBCAS",NA,12
"VIBCAS08_HF_11","VIBCAS08_HF_11_LC_LP_HF","HF","WS1","LC","HF","LP","VIBCAS",NA,57
"VIBCAS08_SH_01","VIBCAS08_SH_01_chill0_LP_HF","SH","WS0","chill0","HF","LP","VIBCAS",NA,18
"VIBLAN03_HF_01","VIBLAN03_HF_01_HC_LP_HF","HF","WS2","HC","HF","LP","VIBLAN",NA,83
"VIBLAN03_HF_06","VIBLAN03_HF_06_LC_LP_LF","HF","CS1","LC","LF","LP","VIBLAN",NA,63
"VIBLAN04_SH_05","VIBLAN04_SH_05_HC_HP_LF","SH","CL2","HC","LF","HP","VIBLAN",NA,83
"VIBLAN06_SH_04","VIBLAN06_SH_04_chill0_HP_HF","SH","WL0","chill0","HF","HP","VIBLAN",NA,26
"VIBLAN06_SH_08","VIBLAN06_SH_08_chill0_LP_HF","SH","WS0","chill0","HF","LP","VIBLAN",NA,34
"VIBLAN06_SH_12","VIBLAN06_SH_12_HC_LP_LF","SH","CS2","HC","LF","LP","VIBLAN",NA,63
"VIBLAN07_SH_08","VIBLAN07_SH_08_chill0_HP_LF","SH","CL0","chill0","LF","HP","VIBLAN",NA,68
"VIBLAN09_HF_06","VIBLAN09_HF_06_chill0_LP_HF","HF","WS0","chill0","HF","LP","VIBLAN",NA,12
"VIBLAN09_SH_02","VIBLAN09_SH_02_chill0_LP_HF","SH","WS0","chill0","HF","LP","VIBLAN",NA,27
"VIBLAN09_SH_04","VIBLAN09_SH_04_chill0_HP_HF","SH","WL0","chill0","HF","HP","VIBLAN",NA,18
