"","lab","day","population","chill","photo","force","flask","percent4.t","indiv","tbb","nl","latbb80","latbb50","latbb1","treatment"
"85","mp_HC_HP_HF_3_spibet",64,"mp","HC","HP","HF",3,NA,"NA",64,1,13,13,13,"HC_HP_HF"
"86","mp_HC_HP_HF_3_symalb",7,"mp","HC","HP","HF",3,NA,"NA",35,1,24,10,10,"HC_HP_HF"
"87","mp_HC_HP_HF_30_loninv",44,"mp","HC","HP","HF",30,30,"8",44,1,24,13,13,"HC_HP_HF"
"88","mp_HC_HP_HF_30_menfer",55,"mp","HC","HP","HF",30,NA,"4",55,1,NA,NA,23,"HC_HP_HF"
"89","mp_HC_HP_HF_30_popbal",41,"mp","HC","HP","HF",30,30,"6",41,1,NA,NA,NA,"HC_HP_HF"
"90","mp_HC_HP_HF_30_sorsco",33,"mp","HC","HP","HF",30,NA,"9",33,1,24,13,10,"HC_HP_HF"
"91","mp_HC_HP_HF_31_acegla",53,"mp","HC","HP","HF",31,20,"7",53,1,NA,NA,28,"HC_HP_HF"
"92","mp_HC_HP_HF_31_amealn",55,"mp","HC","HP","HF",31,50,"2",55,1,19,10,10,"HC_HP_HF"
"93","mp_HC_HP_HF_31_shecan",39,"mp","HC","HP","HF",31,NA,"6",39,1,23,19,13,"HC_HP_HF"
"94","mp_HC_HP_HF_32_menfer",14,"mp","HC","HP","HF",32,NA,"a",82,1,NA,NA,23,"HC_HP_HF"
"95","mp_HC_HP_HF_32_spibet",26,"mp","HC","HP","HF",32,NA,"NA",26,1,24,10,10,"HC_HP_HF"
"96","mp_HC_HP_HF_32_vacmem",6,"mp","HC","HP","HF",32,NA,"a",66,1,NA,24,15,"HC_HP_HF"
"97","mp_HC_HP_HF_32_vibedu",38,"mp","HC","HP","HF",32,NA,"12",38,1,24,12,10,"HC_HP_HF"
"98","mp_HC_HP_HF_33_alninc",81,"mp","HC","HP","HF",33,30,"a_ll",81,1,15,15,15,"HC_HP_HF"
"99","mp_HC_HP_HF_33_amealn",82,"mp","HC","HP","HF",33,NA,"2",82,1,10,7,7,"HC_HP_HF"
