"","site","chill","photo","force","indiv","flask","species"
"1554","mp","HC","HP","LF","a","4","menfer"
"1555","mp","HC","HP","LF","11","4","samrac"
"1556","mp","HC","HP","LF",NA,"4","spibet"
"1557","mp","HC","HP","LF","a","4","vacmem"
"1558","mp","HC","HP","LF","6","40","acegla"
"1559","mp","HC","HP","LF","4","40","acegla"
"1560","mp","HC","HP","LF","1","40","rhoalb"
"1561","mp","HC","HP","LF","6","40","rhoalb"
"1562","mp","HC","HP","LF","7","5","acegla"
"1563","mp","HC","HP","LF","a","5","menfer"
"1564","mp","HC","HP","LF",NA,"5","symalb"
"1565","mp","HC","HP","LF",NA,"5","symalb"
"1566","mp","HC","HP","LF",NA,"6","alnvir"
"1567","mp","HC","HP","LF",NA,"6","popbal"
"1568","mp","HC","HP","LF",NA,"6","rubpar"
"1569","mp","HC","HP","LF",NA,"6","rubpar"
"1570","mp","HC","HP","LF","2","7","alnvir"
"1571","mp","HC","HP","LF","8","7","amealn"
"1572","mp","HC","HP","LF","9","7","sorsco"
"1573","mp","HC","HP","LF","tml","7","vacmem"
"1574","mp","HC","HP","LF","10","8","corsto"
"1575","mp","HC","HP","LF",NA,"8","spibet"
"1576","mp","HC","HP","LF",NA,"8","spibet"
"1577","mp","HC","HP","LF","11","8","vibedu"
"1578","mp","HC","HP","LF","5","9","alnvir"
"1579","mp","HC","HP","LF","10","9","loninv"
"1580","mp","HC","HP","LF","7","9","samrac"
"1581","mp","HC","HP","LF","7","9","samrac"
"1582","mp","HC","LP","HF","5","1","alninc"
"1583","mp","HC","LP","HF","4","1","rhoalb"
"1584","mp","HC","LP","HF",NA,"1","spibet"
"1585","mp","HC","LP","HF","w/1","1","symalb"
"1586","mp","HC","LP","HF","1","10","corsto"
"1587","mp","HC","LP","HF","7","10","menfer"
"1588","mp","HC","LP","HF","a","10","vacmem"
"1589","mp","HC","LP","HF","a","10","vacmem"
"1590","mp","HC","LP","HF","6","11","popbal"
"1591","mp","HC","LP","HF","3","11","samrac"
"1592","mp","HC","LP","HF","wjt","11","symalb"
"1593","mp","HC","LP","HF","9","11","vibedu"
"1594","mp","HC","LP","HF","4","12","alninc"
"1595","mp","HC","LP","HF","1","12","corsto"
"1596","mp","HC","LP","HF","a","12","vacmem"
"1597","mp","HC","LP","HF","12","12","vibedu"
"1598","mp","HC","LP","HF","11","13","rhoalb"
"1599","mp","HC","LP","HF","7","13","samrac"
"1600","mp","HC","LP","HF",NA,"13","spibet"
"1601","mp","HC","LP","HF","a","13","vacmem"
"1602","mp","HC","LP","HF","7","14","acegla"
"1603","mp","HC","LP","HF","8","14","loninv"
"1604","mp","HC","LP","HF","4","14","rhoalb"
"1605","mp","HC","LP","HF","tml","14","rubpar"
"1606","mp","HC","LP","HF","6","15","loninv"
"1607","mp","HC","LP","HF","6","15","poptre"
"1608","mp","HC","LP","HF","10","15","sorsco"
"1609","mp","HC","LP","HF","wjt","15","symalb"
"1610","mp","HC","LP","HF","6","16","alnvir"
"1611","mp","HC","LP","HF","2","16","amealn"
"1612","mp","HC","LP","HF","6","16","shecan"
"1613","mp","HC","LP","HF","wjt","16","symalb"
"1614","mp","HC","LP","HF","13","17","loninv"
"1615","mp","HC","LP","HF","a_ski","17","poptre"
"1616","mp","HC","LP","HF",NA,"17","spibet"
"1617","mp","HC","LP","HF","11","17","vibedu"
"1618","mp","HC","LP","HF","13","18","loninv"
"1619","mp","HC","LP","HF","a_ski","18","poptre"
"1620","mp","HC","LP","HF","12","18","sorsco"
"1621","mp","HC","LP","HF",NA,"18","spipyr"
"1622","mp","HC","LP","HF","2","19","amealn"
"1623","mp","HC","LP","HF","8","19","loninv"
"1624","mp","HC","LP","HF","11","19","popbal"
"1625","mp","HC","LP","HF",NA,"19","spibet"
"1626","mp","HC","LP","HF","3","2","alninc"
"1627","mp","HC","LP","HF","7","2","menfer"
"1628","mp","HC","LP","HF","a_ski","2","poptre"
"1629","mp","HC","LP","HF","12","2","vibedu"
"1630","mp","HC","LP","HF","4","20","alninc"
