"","site","chill","photo","force","indiv","flask","species"
"170","sm","HC","HP","LF",NA,"11","sorsco"
"171","sm","HC","HP","LF",NA,"11","vibedu"
"172","sm","HC","HP","LF","8","12","popbal"
"173","sm","HC","HP","LF","b","12","poptre"
"174","sm","HC","HP","LF","10","12","shecan"
"175","sm","HC","HP","LF","7","13","amealn"
"176","sm","HC","HP","LF","10","13","acegla"
"177","sm","HC","HP","LF","a","13","betpap"
"178","sm","HC","HP","LF","12","13","sorsco"
"179","sm","HC","HP","LF","cl","14","amealn"
"180","sm","HC","HP","LF","6","14","amealn"
"181","sm","HC","HP","LF","10","14","betpap"
"182","sm","HC","HP","LF","8","14","poptre"
"183","sm","HC","HP","LF","2","15","alnvir"
"184","sm","HC","HP","LF","8","15","corsto"
"185","sm","HC","HP","LF","2","15","menfer"
"186","sm","HC","HP","LF","9","15","vibedu"
"187","sm","HC","HP","LF","6","16","alnvir"
"188","sm","HC","HP","LF","10","16","loninv"
"189","sm","HC","HP","LF","11","16","loninv"
"190","sm","HC","HP","LF","oct_21","16","vacmem"
"191","sm","HC","HP","LF","2","17","acegla"
"192","sm","HC","HP","LF","2","17","alnvir"
"193","sm","HC","HP","LF","w/9","17","spipyr"
"194","sm","HC","HP","LF","oct_21","17","vacmem"
"195","sm","HC","HP","LF","14","18","acegla"
"196","sm","HC","HP","LF","4","18","corsto"
"197","sm","HC","HP","LF","cl","18","symalb"
"198","sm","HC","HP","LF","oct_21","18","vacmem"
"199","sm","HC","HP","LF","3","19","amealn"
"200","sm","HC","HP","LF","a","19","spibet"
"201","sm","HC","HP","LF","1","19","sorsco"
"202","sm","HC","HP","LF","7","19","shecan"
"203","sm","HC","HP","LF","7","2","acegla"
"204","sm","HC","HP","LF","2","2","alninc"
"205","sm","HC","HP","LF","3","2","alninc"
"206","sm","HC","HP","LF","11","2","loninv"
"207","sm","HC","HP","LF","14","20","acegla"
"208","sm","HC","HP","LF","3","20","popbal"
"209","sm","HC","HP","LF","8","20","popbal"
"210","sm","HC","HP","LF","2","20","symalb"
"211","sm","HC","HP","LF","11","21","acegla"
"212","sm","HC","HP","LF","8","21","popbal"
"213","sm","HC","HP","LF","a","21","spibet"
"214","sm","HC","HP","LF","2","21","vibedu"
"215","sm","HC","HP","LF","8","22","menfer"
"216","sm","HC","HP","LF","1","22","menfer"
"217","sm","HC","HP","LF","cl","22","symalb"
"218","sm","HC","HP","LF","oct_25","22","vacmem"
"219","sm","HC","HP","LF","11","23","betpap"
"220","sm","HC","HP","LF","11","23","riblac"
"221","sm","HC","HP","LF","cl","23","rubpar"
"222","sm","HC","HP","LF","cl","23","symalb"
"223","sm","HC","HP","LF","14","24","acegla"
"224","sm","HC","HP","LF","1","24","menfer"
"225","sm","HC","HP","LF","12","24","popbal"
"226","sm","HC","HP","LF","5","25","acegla"
"227","sm","HC","HP","LF","9","25","betpap"
"228","sm","HC","HP","LF","9","25","corsto"
"229","sm","HC","HP","LF","11","25","vibedu"
"230","sm","HC","HP","LF","3","26","alninc"
"231","sm","HC","HP","LF","2","26","alnvir"
"232","sm","HC","HP","LF","3","26","menfer"
"233","sm","HC","HP","LF","12","26","popbal"
"234","sm","HC","HP","LF","1","27","alninc"
"235","sm","HC","HP","LF","11","27","corsto"
"236","sm","HC","HP","LF","7","27","poptre"
"237","sm","HC","HP","LF","3","27","symalb"
"238","sm","HC","HP","LF","13","28","corsto"
"239","sm","HC","HP","LF","5","28","loninv"
"240","sm","HC","HP","LF","10","28","loninv"
"241","sm","HC","HP","LF",NA,"28","rubpar"
"242","sm","HC","HP","LF","2","29","poptre"
"243","sm","HC","HP","LF",NA,"29","spipyr"
"244","sm","HC","HP","LF","10","29","shecan"
"245","sm","HC","HP","LF","3","29","vibedu"
"246","sm","HC","HP","LF","6","3","betpap"
"247","sm","HC","HP","LF","NA","3","sorsco"
"248","sm","HC","HP","LF","NA","3","sorsco"
"249","sm","HC","HP","LF","12","3","shecan"
"250","sm","HC","HP","LF","oct_25","3","vacmem"
"251","sm","HC","HP","LF","13","30","corsto"
"252","sm","HC","HP","LF","b","30","poptre"
"253","sm","HC","HP","LF",NA,"30","rubpar"
"254","sm","HC","HP","LF","b","30","spipyr"
"255","sm","HC","HP","LF","5","31","alninc"
"256","sm","HC","HP","LF","a","31","loninv"
"257","sm","HC","HP","LF","9","31","menfer"
"258","sm","HC","HP","LF","w/10","31","rubpar"
"259","sm","HC","HP","LF","10","32","alnvir"
"260","sm","HC","HP","LF","a","32","riblac"
"261","sm","HC","HP","LF","12","32","sorsco"
"262","sm","HC","HP","LF","oct_21","32","vacmem"
"263","sm","HC","HP","LF","onion_b","33","popbal"
"264","sm","HC","HP","LF",NA,"33","symalb"
"265","sm","HC","HP","LF",NA,"33","spipyr"
"266","sm","HC","HP","LF",NA,"33","symalb"
"267","sm","HC","HP","LF","d","34","riblac"
"268","sm","HC","HP","LF",NA,"34","symalb"
"269","sm","HC","HP","LF","NA","34","sorsco"
"270","sm","HC","HP","LF",NA,"34","spipyr"
"271","sm","HC","HP","LF","10","35","alnvir"
"272","sm","HC","HP","LF","6","35","riblac"
"273","sm","HC","HP","LF","a","35","spibet"
"274","sm","HC","HP","LF","5","36","amealn"
"275","sm","HC","HP","LF","b","36","spipyr"
"276","sm","HC","HP","LF","b","36","spipyr"
"277","sm","HC","HP","LF","12","36","sorsco"
"278","sm","HC","HP","LF","7","37","amealn"
"279","sm","HC","HP","LF","8","37","poptre"
"280","sm","HC","HP","LF","a","37","vibedu"
"281","sm","HC","HP","LF","10","37","shecan"
"282","sm","HC","HP","LF","5","38","alninc"
"283","sm","HC","HP","LF","19","38","alnvir"
"284","sm","HC","HP","LF","11","38","riblac"
"285","sm","HC","HP","LF","12","38","riblac"
"286","sm","HC","HP","LF","10","39","loninv"
"287","sm","HC","HP","LF",NA,"39","rubpar"
"288","sm","HC","HP","LF",NA,"39","symalb"
"289","sm","HC","HP","LF",NA,"39","sorsco"
"290","sm","HC","HP","LF","5","4","alninc"
"291","sm","HC","HP","LF","7","4","poptre"
"292","sm","HC","HP","LF","w/10","4","rubpar"
"293","sm","HC","HP","LF","5","4","sorsco"
"294","sm","HC","HP","LF","1","40","alninc"
"295","sm","HC","HP","LF","1","40","alnvir"
"296","sm","HC","HP","LF","a","40","spibet"
"297","sm","HC","HP","LF","oct_21","40","vacmem"
"298","sm","HC","HP","LF","10","5","loninv"
"299","sm","HC","HP","LF","8","5","popbal"
"300","sm","HC","HP","LF",NA,"5","rubpar"
"301","sm","HC","HP","LF",NA,"5","spibet"
"302","sm","HC","HP","LF","b","6","betpap"
"303","sm","HC","HP","LF","13","6","corsto"
"304","sm","HC","HP","LF","3","6","vibedu"
"305","sm","HC","HP","LF","13","7","menfer"
"306","sm","HC","HP","LF",NA,"7","spibet"
"307","sm","HC","HP","LF",NA,"7","spipyr"
"308","sm","HC","HP","LF","oct_21","7","vacmem"
"309","sm","HC","HP","LF","6","8","betpap"
"310","sm","HC","HP","LF","9","8","riblac"
"311","sm","HC","HP","LF","NA","8","spibet"
"312","sm","HC","HP","LF",NA,"8","sorsco"
"313","sm","HC","HP","LF","3","9","menfer"
"314","sm","HC","HP","LF","8","9","poptre"
"315","sm","HC","HP","LF",NA,"9","spibet"
"316","sm","HC","HP","LF","8","9","shecan"
"317","sm","HC","LP","HF","3","1","menfer"
"318","sm","HC","LP","HF",NA,"1","spipyr"
"319","sm","HC","LP","HF","3","1","vibedu"
"320","sm","HC","LP","HF","11","1","shecan"
"321","sm","HC","LP","HF","13","10","menfer"
"322","sm","HC","LP","HF",NA,"10","spibet"
"323","sm","HC","LP","HF","NA","10","sorsco"
"324","sm","HC","LP","HF","oct_21","10","vacmem"
"325","sm","HC","LP","HF","6","11","alnvir"
"326","sm","HC","LP","HF","8","11","corsto"
"327","sm","HC","LP","HF","2","11","riblac"
"328","sm","HC","LP","HF","11","11","vibedu"
"329","sm","HC","LP","HF","6","12","amealn"
"330","sm","HC","LP","HF","12","12","shecan"
"331","sm","HC","LP","HF","10","12","corsto"
"332","sm","HC","LP","HF","9","12","loninv"
"333","sm","HC","LP","HF","cl","12","symalb"
"334","sm","HC","LP","HF","1","13","alninc"
"335","sm","HC","LP","HF","9","13","corsto"
"336","sm","HC","LP","HF","4","13","popbal"
"337","sm","HC","LP","HF","6","14","alnvir"
"338","sm","HC","LP","HF","w/10","14","rubpar"
"339","sm","HC","LP","HF","12","14","sorsco"
"340","sm","HC","LP","HF","9","14","vibedu"
"341","sm","HC","LP","HF","6","15","betpap"
"342","sm","HC","LP","HF","8","15","poptre"
"343","sm","HC","LP","HF","cl","15","symalb"
"344","sm","HC","LP","HF","cl","15","symalb"
"345","sm","HC","LP","HF","b","16","corsto"
"346","sm","HC","LP","HF","b","16","spipyr"
"347","sm","HC","LP","HF",NA,"16","sorsco"
"348","sm","HC","LP","HF","6","16","shecan"
"349","sm","HC","LP","HF","2","17","alnvir"
"350","sm","HC","LP","HF","c","17","poptre"
"351","sm","HC","LP","HF","2","17","riblac"
"352","sm","HC","LP","HF","a","17","spibet"
"353","sm","HC","LP","HF","6","18","betpap"
"354","sm","HC","LP","HF","a","18","popbal"
"355","sm","HC","LP","HF","8","18","poptre"
"356","sm","HC","LP","HF","w/10","18","rubpar"
"357","sm","HC","LP","HF","4","19","alninc"
"358","sm","HC","LP","HF","11","19","loninv"
"359","sm","HC","LP","HF","3","19","symalb"
"360","sm","HC","LP","HF","a","19","spibet"
"361","sm","HC","LP","HF","13","2","menfer"
"362","sm","HC","LP","HF","9","2","symalb"
"363","sm","HC","LP","HF",NA,"2","sorsco"
"364","sm","HC","LP","HF",NA,"2","spipyr"
"365","sm","HC","LP","HF","14","20","acegla"
"366","sm","HC","LP","HF","5","20","loninv"
"367","sm","HC","LP","HF","2","20","poptre"
"368","sm","HC","LP","HF","4","21","alninc"
"369","sm","HC","LP","HF","4","21","popbal"
"370","sm","HC","LP","HF","11","21","riblac"
"371","sm","HC","LP","HF","2","21","riblac"
"372","sm","HC","LP","HF","13","22","acegla"
"373","sm","HC","LP","HF","1","22","menfer"
"374","sm","HC","LP","HF","2","22","poptre"
"375","sm","HC","LP","HF","b","22","spipyr"
"376","sm","HC","LP","HF","5","23","alninc"
"377","sm","HC","LP","HF","b","23","betpap"
"378","sm","HC","LP","HF","d","23","poptre"
"379","sm","HC","LP","HF","7","23","sorsco"
"380","sm","HC","LP","HF","6","24","betpap"
"381","sm","HC","LP","HF","9","24","riblac"
"382","sm","HC","LP","HF",NA,"24","sorsco"
"383","sm","HC","LP","HF","3","24","vibedu"
"384","sm","HC","LP","HF","12","24","shecan"
"385","sm","HC","LP","HF","c","25","corsto"
"386","sm","HC","LP","HF","8","25","popbal"
"387","sm","HC","LP","HF",NA,"25","rubpar"
"388","sm","HC","LP","HF",NA,"25","sorsco"
"389","sm","HC","LP","HF","15","26","acegla"
"390","sm","HC","LP","HF","9","26","betpap"
"391","sm","HC","LP","HF","6","26","sorsco"
"392","sm","HC","LP","HF","9","26","spipyr"
"393","sm","HC","LP","HF","5","27","alninc"
"394","sm","HC","LP","HF","19","27","alnvir"
"395","sm","HC","LP","HF","10","27","riblac"
"396","sm","HC","LP","HF","7","27","sorsco"
"397","sm","HC","LP","HF","11","28","acegla"
"398","sm","HC","LP","HF","11","28","loninv"
"399","sm","HC","LP","HF","1","28","menfer"
"400","sm","HC","LP","HF","cl","28","symalb"
"401","sm","HC","LP","HF","2","29","alnvir"
"402","sm","HC","LP","HF","onion_b","29","popbal"
"403","sm","HC","LP","HF","2","29","riblac"
"404","sm","HC","LP","HF","6","29","vibedu"
"405","sm","HC","LP","HF","9","3","loninv"
"406","sm","HC","LP","HF","10","3","poptre"
"407","sm","HC","LP","HF",NA,"3","sorsco"
"408","sm","HC","LP","HF",NA,"3","sorsco"
"409","sm","HC","LP","HF","3","30","alninc"
"410","sm","HC","LP","HF","4","30","alninc"
"411","sm","HC","LP","HF","5","30","corsto"
"412","sm","HC","LP","HF","w/10","30","rubpar"
"413","sm","HC","LP","HF","6","31","alnvir"
"414","sm","HC","LP","HF","9","31","menfer"
"415","sm","HC","LP","HF","12","31","sorsco"
"416","sm","HC","LP","HF","5","32","amealn"
"417","sm","HC","LP","HF","12","32","menfer"
"418","sm","HC","LP","HF",NA,"32","symalb"
"419","sm","HC","LP","HF","1","32","sorsco"
"420","sm","HC","LP","HF","c","33","corsto"
"421","sm","HC","LP","HF","10","33","poptre"
"422","sm","HC","LP","HF","b","33","spibet"
"423","sm","HC","LP","HF","10","33","shecan"
"424","sm","HC","LP","HF","3","34","amealn"
"425","sm","HC","LP","HF","cl","34","rubpar"
"426","sm","HC","LP","HF","cl","34","rubpar"
"427","sm","HC","LP","HF","b","34","spipyr"
"428","sm","HC","LP","HF","a","35","amealn"
"429","sm","HC","LP","HF","cl","35","rubpar"
"430","sm","HC","LP","HF","a","35","spibet"
"431","sm","HC","LP","HF","1","35","sorsco"
"432","sm","HC","LP","HF","11","36","acegla"
"433","sm","HC","LP","HF","b","36","betpap"
"434","sm","HC","LP","HF","3","36","popbal"
"435","sm","HC","LP","HF","w/9","36","spipyr"
"436","sm","HC","LP","HF","2","37","betpap"
"437","sm","HC","LP","HF","oct_25","37","vacmem"
"438","sm","HC","LP","HF","oct_25","37","vacmem"
"439","sm","HC","LP","HF","oct_25","37","vacmem"
"440","sm","HC","LP","HF","1","38","alninc"
"441","sm","HC","LP","HF","8","38","popbal"
"442","sm","HC","LP","HF","a","38","spibet"
"443","sm","HC","LP","HF","b","38","spipyr"
"444","sm","HC","LP","HF","a","39","amealn"
"445","sm","HC","LP","HF","2","39","menfer"
"446","sm","HC","LP","HF","cl","39","symalb"
"447","sm","HC","LP","HF","oct_25","39","vacmem"
"448","sm","HC","LP","HF","7","4","amealn"
"449","sm","HC","LP","HF","10","4","alnvir"
"450","sm","HC","LP","HF","cl","4","rubpar"
"451","sm","HC","LP","HF","oct_21","4","vacmem"
"452","sm","HC","LP","HF","14","40","acegla"
"453","sm","HC","LP","HF","11","40","riblac"
"454","sm","HC","LP","HF","11","40","sorsco"
"455","sm","HC","LP","HF","14","5","acegla"
"456","sm","HC","LP","HF","5","5","loninv"
"457","sm","HC","LP","HF","a","5","spibet"
"458","sm","HC","LP","HF","10","5","vacmem"
"459","sm","HC","LP","HF","6","6","alnvir"
"460","sm","HC","LP","HF","11","6","betpap"
"461","sm","HC","LP","HF","5","6","vibedu"
"462","sm","HC","LP","HF","6","6","vibedu"
"463","sm","HC","LP","HF","6","7","amealn"
"464","sm","HC","LP","HF","10","7","corsto"
"465","sm","HC","LP","HF","5","7","popbal"
"466","sm","HC","LP","HF","12","7","sorsco"
"467","sm","HC","LP","HF","5","8","loninv"
"468","sm","HC","LP","HF",NA,"8","vibedu"
"469","sm","HC","LP","HF","oct_25","8","vacmem"
"470","sm","HC","LP","HF","7","8","shecan"
"471","sm","HC","LP","HF","7","9","amealn"
"472","sm","HC","LP","HF","10","9","acegla"
"473","sm","HC","LP","HF","11","9","loninv"
"474","sm","HC","LP","HF","a","9","spibet"
"475","sm","HC","LP","LF","4","1","alninc"
"476","sm","HC","LP","LF","11","1","loninv"
"477","sm","HC","LP","LF","5","1","sorsco"
"478","sm","HC","LP","LF","6","10","betpap"
"479","sm","HC","LP","LF","8","10","menfer"
"480","sm","HC","LP","LF","a","10","spibet"
"481","sm","HC","LP","LF","b","10","spipyr"
"482","sm","HC","LP","LF","12","11","menfer"
"483","sm","HC","LP","LF",NA,"11","rubpar"
"484","sm","HC","LP","LF",NA,"11","spibet"
"485","sm","HC","LP","LF","6","11","shecan"
"486","sm","HC","LP","LF","11","12","acegla"
"487","sm","HC","LP","LF","b","12","betpap"
"488","sm","HC","LP","LF","11","12","poptre"
"489","sm","HC","LP","LF","10","13","loninv"
"490","sm","HC","LP","LF","NA","13","sorsco"
"491","sm","HC","LP","LF","3","13","vibedu"
"492","sm","HC","LP","LF","11","13","shecan"
"493","sm","HC","LP","LF","6","14","amealn"
"494","sm","HC","LP","LF","6","14","alnvir"
"495","sm","HC","LP","LF","oct_21","14","vacmem"
"496","sm","HC","LP","LF","10","15","loninv"
"497","sm","HC","LP","LF",NA,"15","symalb"
"498","sm","HC","LP","LF",NA,"15","spibet"
"499","sm","HC","LP","LF",NA,"15","spipyr"
"500","sm","HC","LP","LF","13","16","menfer"
"501","sm","HC","LP","LF",NA,"16","spipyr"
"502","sm","HC","LP","LF","3","16","vibedu"
"503","sm","HC","LP","LF","8","16","shecan"
"504","sm","HC","LP","LF","6","17","alnvir"
"505","sm","HC","LP","LF","5","17","betpap"
"506","sm","HC","LP","LF","12","17","sorsco"
"507","sm","HC","LP","LF","11","17","sorsco"
"508","sm","HC","LP","LF","13","18","menfer"
"509","sm","HC","LP","LF","3b","18","riblac"
"510","sm","HC","LP","LF",NA,"18","spibet"
"511","sm","HC","LP","LF",NA,"18","spibet"
"512","sm","HC","LP","LF","a","19","betpap"
"513","sm","HC","LP","LF",NA,"19","sorsco"
"514","sm","HC","LP","LF","3","19","vibedu"
"515","sm","HC","LP","LF","12","19","shecan"
"516","sm","HC","LP","LF","7","2","amealn"
"517","sm","HC","LP","LF","10",NA,"corsto"
"518","sm","HC","LP","LF","3","2","riblac"
"519","sm","HC","LP","LF"," B28","2","spipyr"
"520","sm","HC","LP","LF","c","20","corsto"
"521","sm","HC","LP","LF","10","20","loninv"
"522","sm","HC","LP","LF","8","20","popbal"
"523","sm","HC","LP","LF","NA","20","sorsco"
"524","sm","HC","LP","LF","d","21","riblac"
"525","sm","HC","LP","LF",NA,"21","rubpar"
"526","sm","HC","LP","LF","e","21","vibedu"
"527","sm","HC","LP","LF","oct_21","21","vacmem"
"528","sm","HC","LP","LF","d","22","riblac"
"529","sm","HC","LP","LF",NA,"22","shecan"
"530","sm","HC","LP","LF","oct_21","22","vacmem"
"531","sm","HC","LP","LF","3","23","amealn"
"532","sm","HC","LP","LF","1","23","alninc"
"533","sm","HC","LP","LF","8","23","popbal"
"534","sm","HC","LP","LF","cl","23","rubpar"
"535","sm","HC","LP","LF",NA,"24","popbal"
"536","sm","HC","LP","LF",NA,"24","poptre"
"537","sm","HC","LP","LF",NA,"24","symalb"
"538","sm","HC","LP","LF",NA,"24","sorsco"
"539","sm","HC","LP","LF","13","25","acegla"
"540","sm","HC","LP","LF","11","25","riblac"
"541","sm","HC","LP","LF","b","25","spipyr"
"542","sm","HC","LP","LF","2","25","vibedu"
"543","sm","HC","LP","LF","6","26","betpap"
"544","sm","HC","LP","LF","8","26","poptre"
"545","sm","HC","LP","LF",NA,"26","symalb"
"546","sm","HC","LP","LF","NA","26","sorsco"
"547","sm","HC","LP","LF","d","27","riblac"
"548","sm","HC","LP","LF",NA,"27","symalb"
"549","sm","HC","LP","LF",NA,"27","spibet"
"550","sm","HC","LP","LF","oct_21","27","vacmem"
"551","sm","HC","LP","LF","6","28","amealn"
"552","sm","HC","LP","LF","a","28","amealn"
"553","sm","HC","LP","LF","10","28","shecan"
"554","sm","HC","LP","LF","5","28","loninv"
"555","sm","HC","LP","LF","b","28","spipyr"
"556","sm","HC","LP","LF","3","29","alninc"
"557","sm","HC","LP","LF","4","29","alninc"
"558","sm","HC","LP","LF","a","29","betpap"
"559","sm","HC","LP","LF","b","29","betpap"
"560","sm","HC","LP","LF","7","3","loninv"
"561","sm","HC","LP","LF","a","3","popbal"
"562","sm","HC","LP","LF","3","3","riblac"
"563","sm","HC","LP","LF","NA","3","sorsco"
"564","sm","HC","LP","LF","3","30","amealn"
"565","sm","HC","LP","LF","2","30","alninc"
"566","sm","HC","LP","LF","2","30","alnvir"
"567","sm","HC","LP","LF","b","30","spipyr"
"568","sm","HC","LP","LF","7","31","amealn"
"569","sm","HC","LP","LF","1","31","alninc"
"570","sm","HC","LP","LF","1","31","menfer"
"571","sm","HC","LP","LF","2","31","symalb"
"572","sm","HC","LP","LF","15","32","acegla"
"573","sm","HC","LP","LF","a","32","betpap"
"574","sm","HC","LP","LF","3","32","popbal"
"575","sm","HC","LP","LF","a","32","spibet"
"576","sm","HC","LP","LF","8","33","corsto"
"577","sm","HC","LP","LF","8","33","popbal"
"578","sm","HC","LP","LF",NA,"33","rubpar"
"579","sm","HC","LP","LF",NA,"33","sorsco"
"580","sm","HC","LP","LF","6","33","shecan "
"581","sm","HC","LP","LF","2","34","alnvir"
"582","sm","HC","LP","LF","6","34","alnvir"
"583","sm","HC","LP","LF","9","34","corsto"
"584","sm","HC","LP","LF","9","34","vibedu"
"585","sm","HC","LP","LF","1","35","amealn"
"586","sm","HC","LP","LF","1","35","alninc"
"587","sm","HC","LP","LF","7","35","poptre"
"588","sm","HC","LP","LF","oct_21","35","vacmem"
"589","sm","HC","LP","LF","4","36","alninc"
"590","sm","HC","LP","LF","9","36","corsto"
"591","sm","HC","LP","LF","5","36","corsto"
"592","sm","HC","LP","LF","6","36","vibedu"
"593","sm","HC","LP","LF","11","37","loninv"
"594","sm","HC","LP","LF","w/10","37","rubpar"
"595","sm","HC","LP","LF","NA","37","sorsco"
"596","sm","HC","LP","LF",NA,"37","spipyr"
"597","sm","HC","LP","LF","3","38","menfer"
"598","sm","HC","LP","LF","7","38","poptre"
"599","sm","HC","LP","LF","NA","38","sorsco"
"600","sm","HC","LP","LF","oct_21","38","vacmem"
"601","sm","HC","LP","LF","13","39","acegla"
"602","sm","HC","LP","LF","cl","39","symalb"
"603","sm","HC","LP","LF","a","39","spibet"
"604","sm","HC","LP","LF","oct_21","39","vacmem"
"605","sm","HC","LP","LF","9","4","acegla"
"606","sm","HC","LP","LF","10","4","alnvir"
"607","sm","HC","LP","LF","9","4","corsto"
"608","sm","HC","LP","LF","3","4","menfer"
"609","sm","HC","LP","LF","7","40","acegla"
"610","sm","HC","LP","LF","19","40","alnvir"
"611","sm","HC","LP","LF","1","40","poptre"
"612","sm","HC","LP","LF","cl","40","rubpar"
"613","sm","HC","LP","LF","b","5","poptre"
"614","sm","HC","LP","LF",NA,"5","rubpar"
"615","sm","HC","LP","LF","10","5","shecan"
"616","sm","HC","LP","LF","3","5","vibedu"
"617","sm","HC","LP","LF","2","6","alnvir"
"618","sm","HC","LP","LF","2","6","symalb"
"619","sm","HC","LP","LF",NA,"6","sorsco"
"620","sm","HC","LP","LF",NA,"6","sorsco"
"621","sm","HC","LP","LF","10","7","acegla"
"622","sm","HC","LP","LF","d","7","poptre"
"623","sm","HC","LP","LF","11","7","riblac"
"624","sm","HC","LP","LF","2","7","symalb"
"625","sm","HC","LP","LF","8","8","corsto"
"626","sm","HC","LP","LF","8","8","popbal"
"627","sm","HC","LP","LF",NA,"8","rubpar"
"628","sm","HC","LP","LF","oct_25","8","vacmem"
"629","sm","HC","LP","LF","14","9","acegla"
"630","sm","HC","LP","LF","10","9","loninv"
"631","sm","HC","LP","LF","12","9","menfer"
"632","sm","HC","LP","LF","12","9","popbal"
"633","sm","LC","HP","HF","a","1","amealn"
"634","sm","LC","HP","HF","5","1","loninv"
"635","sm","LC","HP","HF","c","1","popbal"
"636","sm","LC","HP","HF","7","1","shecan"
"637","sm","LC","HP","HF","d","10","riblac"
"638","sm","LC","HP","HF",NA,"10","rubpar"
"639","sm","LC","HP","HF",NA,"10","symalb"
"640","sm","LC","HP","HF",NA,"10","symalb"
"641","sm","LC","HP","HF",NA,"11","rubpar"
"642","sm","LC","HP","HF",NA,"11","spipyr"
"643","sm","LC","HP","HF","oct_21","11","vacmem"
"644","sm","LC","HP","HF","a","12","corsto"
"645","sm","LC","HP","HF","7","12","loninv"
"646","sm","LC","HP","HF","8","12","poptre"
"647","sm","LC","HP","HF",NA,"12","symalb"
"648","sm","LC","HP","HF","10","13","alnvir"
"649","sm","LC","HP","HF","8","13","corsto"
"650","sm","LC","HP","HF",NA,"13cl","rubpar"
"651","sm","LC","HP","HF","11","13","sorsco"
"652","sm","LC","HP","HF","10","14","acegla"
"653","sm","LC","HP","HF","4","14","alninc"
"654","sm","LC","HP","HF","3","14","popbal"
"655","sm","LC","HP","HF","3","15","menfer"
"656","sm","LC","HP","HF",NA,"15","rubpar"
"657","sm","LC","HP","HF",NA,"15","spipyr"
"658","sm","LC","HP","HF","11","15","shecan"
"659","sm","LC","HP","HF","2","16","alninc"
"660","sm","LC","HP","HF","10","16","alnvir"
"661","sm","LC","HP","HF","11","16","corsto"
"662","sm","LC","HP","HF","oct_21","16","vacmem"
"663","sm","LC","HP","HF","8","17","popbal"
"664","sm","LC","HP","HF",NA,"17","spibet"
"665","sm","LC","HP","HF",NA,"17","symalb"
"666","sm","LC","HP","HF","3","17","vibedu"
"667","sm","LC","HP","HF","a","18","amealn"
"668","sm","LC","HP","HF","5","18","loninv"
"669","sm","LC","HP","HF","cl","18","symalb"
"670","sm","LC","HP","HF","a","18","sorsco"
"671","sm","LC","HP","HF","13","19","acegla"
"672","sm","LC","HP","HF","d","19","poptre"
"673","sm","LC","HP","HF","8","19","riblac"
"674","sm","LC","HP","HF","a","19","spibet"
"675","sm","LC","HP","HF","7","2","loninv"
"676","sm","LC","HP","HF","a","2","popbal"
"677","sm","LC","HP","HF","3b","2","riblac"
"678","sm","LC","HP","HF","13","2","shecan"
"679","sm","LC","HP","HF","6","20","alnvir"
"680","sm","LC","HP","HF","10","20","betpap"
"681","sm","LC","HP","HF","cl","20","rubpar"
"682","sm","LC","HP","HF","11","20","sorsco"
"683","sm","LC","HP","HF","7","21","amealn"
"684","sm","LC","HP","HF","3","21","amealn"
"685","sm","LC","HP","HF","5","21","alninc"
"686","sm","LC","HP","HF","3","21","menfer"
"687","sm","LC","HP","HF","a","22","corsto"
"688","sm","LC","HP","HF","3","22","riblac"
"689","sm","LC","HP","HF",NA,"22","spibet"
"690","sm","LC","HP","HF",NA,"22","spipyr"
"691","sm","LC","HP","HF","10","22","shecan"
"692","sm","LC","HP","HF","2","23","alnvir"
"693","sm","LC","HP","HF","10","23","betpap"
"694","sm","LC","HP","HF","8","23","menfer"
"695","sm","LC","HP","HF","10","24","acegla"
"696","sm","LC","HP","HF","19","24","alnvir"
"697","sm","LC","HP","HF","11","24","loninv"
"698","sm","LC","HP","HF","12","24","sorsco"
"699","sm","LC","HP","HF","c","25","poptre"
"700","sm","LC","HP","HF",NA,"25","symalb"
"701","sm","LC","HP","HF",NA,"25","spipyr"
"702","sm","LC","HP","HF","a","25","shecan"
"703","sm","LC","HP","HF","2","26","acegla"
"704","sm","LC","HP","HF","9","26","acegla"
"705","sm","LC","HP","HF","11","26","loninv"
"706","sm","LC","HP","HF","d","26","poptre"
"707","sm","LC","HP","HF","1","27","alninc"
"708","sm","LC","HP","HF","c","27","poptre"
"709","sm","LC","HP","HF","2","27","symalb"
"710","sm","LC","HP","HF","9","28","acegla"
"711","sm","LC","HP","HF","2","28","alninc"
"712","sm","LC","HP","HF","19","28","alnvir"
"713","sm","LC","HP","HF","d","28","poptre"
"714","sm","LC","HP","HF","7","29","shecan"
"715","sm","LC","HP","HF",NA,"29","spipyr"
"716","sm","LC","HP","HF",NA,"29","spipyr"
"717","sm","LC","HP","HF","11","29","shecan"
"718","sm","LC","HP","HF","6","3","amealn"
"719","sm","LC","HP","HF","10","3","corsto"
"720","sm","LC","HP","HF","9","3","menfer"
"721","sm","LC","HP","HF","a","3","spibet"
"722","sm","LC","HP","HF","12","3","shecan"
"723","sm","LC","HP","HF","8","30","popbal"
"724","sm","LC","HP","HF",NA,"30","rubpar"
"725","sm","LC","HP","HF",NA,"30","spipyr"
"726","sm","LC","HP","HF","oct_21","30","vacmem"
"727","sm","LC","HP","HF","7","31","amealn"
"728","sm","LC","HP","HF","5","31","alninc"
"729","sm","LC","HP","HF","a","31","betpap"
"730","sm","LC","HP","HF","NA","31","loninv"
"731","sm","LC","HP","HF","6","32","alnvir"
