"","X","day","population","indiv","chill","photo","force","flask","species","bbch.t","percent.t","bbch.l","percent.l","bbch2.l","percent2.l","bbch3.l","percent3.l","bbch4.t","percent4.t","lab","dup","ref","lab2"
"134215",83727,58,"mp","3","LC","LP","HF",20,"rhoalb",17,100,17,10,11,25,10,25,NA,NA,"mp_LC_LP_HF_20_rhoalb",TRUE,"b","mp_LC_LP_HF_20_rhoalb_b"
"134227",83739,58,"sm",NA,"LC","LP","HF",21,"popbal",17,100,17,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_21_popbal",TRUE,"b","sm_LC_LP_HF_21_popbal_b"
"134255",83767,58,"mp",NA,"LC","LP","HF",25,"spibet",17,100,15,60,9,20,1,20,NA,NA,"mp_LC_LP_HF_25_spibet",TRUE,"b","mp_LC_LP_HF_25_spibet_b"
"134269",83781,58,"sm","9","LC","LP","HF",26,"menfer",NA,NA,7,10,3,20,0,70,NA,NA,"sm_LC_LP_HF_26_menfer",TRUE,"b","sm_LC_LP_HF_26_menfer_b"
"134304",83816,58,"mp",NA,"LC","LP","HF",31,"poptre",7,40,17,75,11,25,NA,NA,NA,NA,"mp_LC_LP_HF_31_poptre",TRUE,"b","mp_LC_LP_HF_31_poptre_b"
"134347",83859,58,"sm","B","LC","LP","HF",36,"poptre",17,50,NA,NA,NA,NA,NA,NA,11,35,"sm_LC_LP_HF_36_poptre",TRUE,"b","sm_LC_LP_HF_36_poptre_b"
"134372",83884,58,"sm","8","LC","LP","HF",39,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_39_menfer",TRUE,"b","sm_LC_LP_HF_39_menfer_b"
"134378",83890,58,"sm","4","LC","LP","HF",40,"alninc",17,50,17,30,15,15,10,40,15,50,"sm_LC_LP_HF_40_alninc",TRUE,"b","sm_LC_LP_HF_40_alninc_b"
"134391",83903,58,"mp","tml","LC","LP","LF",2,"spibet",3,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_LF_2_spibet",TRUE,"b","mp_LC_LP_LF_2_spibet_b"
"134405",83917,58,"mp","7","LC","LP","LF",4,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_LF_4_menfer",TRUE,"b","mp_LC_LP_LF_4_menfer_b"
"134406",83918,58,"mp","8","LC","LP","LF",4,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_LF_4_menfer",TRUE,"b","mp_LC_LP_LF_4_menfer_b"
"134433",83945,58,"sm","6B","LC","LP","LF",7,"amealn",15,80,15,10,11,5,10,20,10,20,"sm_LC_LP_LF_7_amealn",TRUE,"b","sm_LC_LP_LF_7_amealn_b"
"134466",83978,58,"sm","B","LC","LP","LF",11,"poptre",9,25,1,100,NA,NA,NA,NA,7,50,"sm_LC_LP_LF_11_poptre",TRUE,"b","sm_LC_LP_LF_11_poptre_b"
"134476",83988,58,"sm",NA,"LC","LP","LF",12,"sorsco",15,100,1,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_LF_12_sorsco",TRUE,"b","sm_LC_LP_LF_12_sorsco_b"
"134482",83994,58,"sm","8","LC","LP","LF",13,"popbal",15,100,11,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_LF_13_popbal",TRUE,"b","sm_LC_LP_LF_13_popbal_b"
"134484",83996,58,"sm","oc21","LC","LP","LF",13,"vacmem",11,5,11,25,10,5,9,5,3,95,"sm_LC_LP_LF_13_vacmem",TRUE,"b","sm_LC_LP_LF_13_vacmem_b"
"134486",83998,58,"mp","5","LC","LP","LF",14,"alninc",10,100,15,30,10,50,9,20,NA,NA,"mp_LC_LP_LF_14_alninc",TRUE,"b","mp_LC_LP_LF_14_alninc_b"
"134490",84002,58,"sm","3","LC","LP","LF",14,"riblac",3,100,3,30,1,70,NA,NA,NA,NA,"sm_LC_LP_LF_14_riblac",TRUE,"b","sm_LC_LP_LF_14_riblac_b"
"134499",84011,58,"sm","w/10","LC","LP","LF",15,"rubpar",7,100,7,40,3,60,NA,NA,NA,NA,"sm_LC_LP_LF_15_rubpar",TRUE,"b","sm_LC_LP_LF_15_rubpar_b"
"134502",84014,58,"mp","ALL","LC","LP","LF",16,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_LF_16_menfer",TRUE,"b","mp_LC_LP_LF_16_menfer_b"
"134527",84039,58,"mp","120","LC","LP","LF",19,"loninv",3,100,1,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_LF_19_loninv",TRUE,"b","mp_LC_LP_LF_19_loninv_b"
"134560",84073,58,"sm","10","LC","LP","LF",23,"alnvir",1,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_LF_23_alnvir",TRUE,"b","sm_LC_LP_LF_23_alnvir_b"
"134577",84090,58,"sm","D","LC","LP","LF",25,"poptre",1,100,1,90,0,10,NA,NA,NA,NA,"sm_LC_LP_LF_25_poptre",TRUE,"b","sm_LC_LP_LF_25_poptre_b"
"134615",84128,58,"sm","10","LC","LP","LF",30,"shecan",15,100,15,70,11,30,NA,NA,NA,NA,"sm_LC_LP_LF_30_shecan",TRUE,"b","sm_LC_LP_LF_30_shecan_b"
"134616",84129,58,"sm","6","LC","LP","LF",30,"shecan",7,100,11,10,10,50,3,40,NA,NA,"sm_LC_LP_LF_30_shecan",TRUE,"b","sm_LC_LP_LF_30_shecan_b"
"134626",84139,58,"sm","A5","LC","LP","LF",31,"spibet",17,100,17,20,3,80,NA,NA,NA,NA,"sm_LC_LP_LF_31_spibet",TRUE,"b","sm_LC_LP_LF_31_spibet_b"
"134650",84163,58,"sm",NA,"LC","LP","LF",34,"spibet",7,25,7,5,3,75,1,20,3,50,"sm_LC_LP_LF_34_spibet",TRUE,"b","sm_LC_LP_LF_34_spibet_b"
"134664",84177,58,"sm",NA,"LC","LP","LF",36,"spipyr",3,100,10,40,1,60,NA,NA,NA,NA,"sm_LC_LP_LF_36_spipyr",TRUE,"b","sm_LC_LP_LF_36_spipyr_b"
"134683",84196,58,"mp","8","LC","LP","LF",39,"riblac",1,100,1,60,0,40,NA,NA,NA,NA,"mp_LC_LP_LF_39_riblac",TRUE,"b","mp_LC_LP_LF_39_riblac_b"
"134686",84199,58,"sm","10","LC","LP","LF",39,"loninv",7,15,11,25,9,20,3,25,7,25,"sm_LC_LP_LF_39_loninv",TRUE,"b","sm_LC_LP_LF_39_loninv_b"
"134707",161543,58,"mp","9","HC","HP","HF",2,"menfer",NA,NA,15,30,11,10,7,20,NA,NA,"mp_HC_HP_HF_2_menfer",TRUE,"b","mp_HC_HP_HF_2_menfer_b"
"134715",161551,58,"mp",NA,"HC","HP","HF",3,"spibet",1,100,17,15,11,15,3,40,NA,NA,"mp_HC_HP_HF_3_spibet",TRUE,"b","mp_HC_HP_HF_3_spibet_b"
"134718",161554,58,"sm","10","HC","HP","HF",3,"alnvir",9,100,10,50,9,50,NA,NA,NA,NA,"sm_HC_HP_HF_3_alnvir",TRUE,"b","sm_HC_HP_HF_3_alnvir_b"
"134743",161579,58,"sm","D","HC","HP","HF",6,"vibedu",17,70,17,40,3,60,NA,NA,3,30,"sm_HC_HP_HF_6_vibedu",TRUE,"b","sm_HC_HP_HF_6_vibedu_b"
"134776",161612,58,"mp","5","HC","HP","HF",11,"corsto",17,20,15,25,11,75,NA,NA,15,80,"mp_HC_HP_HF_11_corsto",TRUE,"b","mp_HC_HP_HF_11_corsto_b"
"134780",161616,58,"sm","A","HC","HP","HF",11,"betpap",15,100,15,20,11,60,10,20,NA,NA,"sm_HC_HP_HF_11_betpap",TRUE,"b","sm_HC_HP_HF_11_betpap_b"
"134782",161618,58,"sm","b","HC","HP","HF",11,"poptre",17,100,NA,NA,NA,NA,NA,NA,NA,NA,"sm_HC_HP_HF_11_poptre",TRUE,"b","sm_HC_HP_HF_11_poptre_b"
"134826",161662,58,"mp","5","HC","HP","HF",17,"alninc",NA,NA,17,85,9,15,NA,NA,NA,NA,"mp_HC_HP_HF_17_alninc",TRUE,"b","mp_HC_HP_HF_17_alninc_b"
"134830",161666,58,"sm",NA,"HC","HP","HF",17,"rubpar",0,100,15,50,0,50,NA,NA,NA,NA,"sm_HC_HP_HF_17_rubpar",TRUE,"b","sm_HC_HP_HF_17_rubpar_b"
"134842",161678,58,"mp","ll","HC","HP","HF",19,"vacmem",17,10,17,50,11,15,1,35,10,5,"mp_HC_HP_HF_19_vacmem",TRUE,"b","mp_HC_HP_HF_19_vacmem_b"
"134854",161690,58,"sm","oc21","HC","HP","HF",20,"vacmem",7,10,17,30,7,10,3,20,NA,NA,"sm_HC_HP_HF_20_vacmem",TRUE,"b","sm_HC_HP_HF_20_vacmem_b"
"134882",161719,58,"sm","6","HC","HP","HF",24,"alnvir",15,25,17,15,15,30,10,50,11,50,"sm_HC_HP_HF_24_alnvir",TRUE,"b","sm_HC_HP_HF_24_alnvir_b"
"134886",161723,58,"mp","10","HC","HP","HF",25,"acegla",3,100,3,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_HF_25_acegla",TRUE,"b","mp_HC_HP_HF_25_acegla_b"
"134898",161736,58,"sm","12","HC","HP","HF",26,"menfer",NA,NA,17,5,15,10,10,10,NA,NA,"sm_HC_HP_HF_26_menfer",TRUE,"b","sm_HC_HP_HF_26_menfer_b"
"134937",161775,58,"mp","6","HC","HP","HF",31,"shecan",17,60,15,80,11,20,NA,NA,10,40,"mp_HC_HP_HF_31_shecan",TRUE,"b","mp_HC_HP_HF_31_shecan_b"
"134941",161779,58,"sm","12","HC","HP","HF",31,"riblac",9,100,17,5,15,25,11,15,NA,NA,"sm_HC_HP_HF_31_riblac",TRUE,"b","sm_HC_HP_HF_31_riblac_b"
"134950",161789,58,"mp","ALL","HC","HP","HF",33,"alninc",17,70,15,50,11,10,10,20,11,30,"mp_HC_HP_HF_33_alninc",TRUE,"b","mp_HC_HP_HF_33_alninc_b"
"134976",161816,58,"mp","bski","HC","HP","HF",36,"poptre",17,70,NA,NA,NA,NA,NA,NA,9,20,"mp_HC_HP_HF_36_poptre",TRUE,"b","mp_HC_HP_HF_36_poptre_b"
"135004",161844,58,"sm","A2","HC","HP","HF",39,"spibet",17,100,9,100,NA,NA,NA,NA,NA,NA,"sm_HC_HP_HF_39_spibet",TRUE,"b","sm_HC_HP_HF_39_spibet_b"
"135016",161860,58,"mp","9","HC","HP","LF",1,"shecan",17,100,17,5,15,45,7,15,NA,NA,"mp_HC_HP_LF_1_shecan",TRUE,"b","mp_HC_HP_LF_1_shecan_b"
"135023",161867,58,"mp","9","HC","HP","LF",2,"rubpar",0,100,15,30,10,15,9,15,NA,NA,"mp_HC_HP_LF_2_rubpar",TRUE,"b","mp_HC_HP_LF_2_rubpar_b"
"135027",161871,58,"sm","3","HC","HP","LF",2,"alninc",11,100,15,60,11,15,10,15,NA,NA,"sm_HC_HP_LF_2_alninc",TRUE,"b","sm_HC_HP_LF_2_alninc_b"
"135047",161893,58,"mp",NA,"HC","HP","LF",5,"symalb",NA,NA,15,70,11,15,9,5,NA,NA,"mp_HC_HP_LF_5_symalb",TRUE,"b","mp_HC_HP_LF_5_symalb_b"
"135055",161901,58,"mp",NA,"HC","HP","LF",6,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_6_rubpar",TRUE,"b","mp_HC_HP_LF_6_rubpar_b"
"135069",161915,58,"mp",NA,"HC","HP","LF",8,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_8_spibet",TRUE,"b","mp_HC_HP_LF_8_spibet_b"
"135077",161923,58,"mp","7","HC","HP","LF",9,"samrac",0,100,15,25,10,50,9,25,NA,NA,"mp_HC_HP_LF_9_samrac",TRUE,"b","mp_HC_HP_LF_9_samrac_b"
"135085",161931,58,"mp","6","HC","HP","LF",10,"popbal",15,50,11,60,10,40,NA,NA,11,50,"mp_HC_HP_LF_10_popbal",TRUE,"b","mp_HC_HP_LF_10_popbal_b"
"135113",161960,58,"mp","4","HC","HP","LF",14,"alninc",15,100,17,50,15,40,7,15,NA,NA,"mp_HC_HP_LF_14_alninc",TRUE,"b","mp_HC_HP_LF_14_alninc_b"
"135117",161964,58,"sm","CLA","HC","HP","LF",14,"amealn",15,70,11,20,10,5,9,30,7,40,"sm_HC_HP_LF_14_amealn",TRUE,"b","sm_HC_HP_LF_14_amealn_b"
"135134",161981,58,"sm","11","HC","HP","LF",16,"loninv",17,100,10,20,9,10,7,10,NA,NA,"sm_HC_HP_LF_16_loninv",TRUE,"b","sm_HC_HP_LF_16_loninv_b"
"135166",162013,58,"sm","8","HC","HP","LF",20,"popbal",17,50,NA,NA,NA,NA,NA,NA,15,50,"sm_HC_HP_LF_20_popbal",TRUE,"b","sm_HC_HP_LF_20_popbal_b"
"135177",162024,58,"mp","10","HC","HP","LF",22,"loninv",3,100,15,25,3,25,1,50,NA,NA,"mp_HC_HP_LF_22_loninv",TRUE,"b","mp_HC_HP_LF_22_loninv_b"
"135181",162028,58,"sm","8","HC","HP","LF",22,"menfer",NA,NA,15,25,10,5,9,10,NA,NA,"sm_HC_HP_LF_22_menfer",TRUE,"b","sm_HC_HP_LF_22_menfer_b"
"135218",162065,58,"mp","wjt","HC","HP","LF",27,"vacmem",3,100,3,10,1,50,0,40,NA,NA,"mp_HC_HP_LF_27_vacmem",TRUE,"b","mp_HC_HP_LF_27_vacmem_b"
"135229",162076,58,"sm","10","HC","HP","LF",28,"loninv",3,100,17,40,11,40,7,20,NA,NA,"sm_HC_HP_LF_28_loninv",TRUE,"b","sm_HC_HP_LF_28_loninv_b"
"135234",162081,58,"mp",NA,"HC","HP","LF",29,"spipyr",17,100,11,10,3,25,1,65,NA,NA,"mp_HC_HP_LF_29_spipyr",TRUE,"b","mp_HC_HP_LF_29_spipyr_b"
"135241",162088,58,"mp","10","HC","HP","LF",30,"riblac",3,100,10,5,9,20,3,20,NA,NA,"mp_HC_HP_LF_30_riblac",TRUE,"b","mp_HC_HP_LF_30_riblac_b"
"135250",162097,58,"mp","10","HC","HP","LF",31,"samrac",11,50,15,100,NA,NA,NA,NA,10,50,"mp_HC_HP_LF_31_samrac",TRUE,"b","mp_HC_HP_LF_31_samrac_b"
"135270",162117,58,"sm",NA,"HC","HP","LF",33,"symalb",NA,NA,17,50,15,25,9,20,NA,NA,"sm_HC_HP_LF_33_symalb",TRUE,"b","sm_HC_HP_LF_33_symalb_b"
"135279",162127,58,"mp","Atml","HC","HP","LF",35,"loninv",17,60,0,100,NA,NA,NA,NA,11,20,"mp_HC_HP_LF_35_loninv",TRUE,"b","mp_HC_HP_LF_35_loninv_b"
"135286",162134,58,"mp","9","HC","HP","LF",36,"corsto",15,100,10,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_36_corsto",TRUE,"b","mp_HC_HP_LF_36_corsto_b"
"135292",162140,58,"sm","b30","HC","HP","LF",36,"spipyr",1,100,9,5,3,5,1,90,NA,NA,"sm_HC_HP_LF_36_spipyr",TRUE,"b","sm_HC_HP_LF_36_spipyr_b"
"135308",162156,58,"sm","12","HC","HP","LF",38,"riblac",17,100,11,25,10,5,9,20,9,15,"sm_HC_HP_LF_38_riblac",TRUE,"b","sm_HC_HP_LF_38_riblac_b"
"135317",162166,58,"mp","6","HC","HP","LF",40,"acegla",10,60,7,10,3,40,1,50,9,40,"mp_HC_HP_LF_40_acegla",TRUE,"b","mp_HC_HP_LF_40_acegla_b"
"135319",162168,58,"mp","6","HC","HP","LF",40,"rhoalb",17,70,11,50,9,50,NA,NA,15,30,"mp_HC_HP_LF_40_rhoalb",TRUE,"b","mp_HC_HP_LF_40_rhoalb_b"
"135346",162196,58,"sm",NA,"HC","LP","HF",3,"sorsco",15,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_HF_3_sorsco",TRUE,"b","sm_HC_LP_HF_3_sorsco_b"
"135369",162220,58,"sm","6","HC","LP","HF",6,"vibedu",17,50,17,10,11,10,3,80,3,50,"sm_HC_LP_HF_6_vibedu",TRUE,"b","sm_HC_LP_HF_6_vibedu_b"
"135397",162248,58,"mp","A","HC","LP","HF",10,"vacmem",3,100,3,50,1,25,0,25,NA,NA,"mp_HC_LP_HF_10_vacmem",TRUE,"b","mp_HC_LP_HF_10_vacmem_b"
"135440",162292,58,"sm","clw","HC","LP","HF",15,"symalb",NA,NA,10,60,7,20,3,10,NA,NA,"sm_HC_LP_HF_15_symalb",TRUE,"b","sm_HC_LP_HF_15_symalb_b"
"135473",162325,58,"mp","4","HC","LP","HF",20,"alninc",15,100,15,40,11,25,3,35,NA,NA,"mp_HC_LP_HF_20_alninc",TRUE,"b","mp_HC_LP_HF_20_alninc_b"
"135486",162338,58,"sm","11","HC","LP","HF",21,"riblac",1,100,17,5,15,15,10,5,NA,NA,"sm_HC_LP_HF_21_riblac",TRUE,"b","sm_HC_LP_HF_21_riblac_b"
"135503",162357,58,"mp","11","HC","LP","HF",24,"acegla",11,30,1,100,NA,NA,NA,NA,9,70,"mp_HC_LP_HF_24_acegla",TRUE,"b","mp_HC_LP_HF_24_acegla_b"
"135544",162398,58,"mp","7","HC","LP","HF",29,"amealn",17,50,17,20,15,20,10,10,9,50,"mp_HC_LP_HF_29_amealn",TRUE,"b","mp_HC_LP_HF_29_amealn_b"
"135546",162400,58,"mp","10","HC","LP","HF",29,"menfer",NA,NA,17,25,15,10,10,25,NA,NA,"mp_HC_LP_HF_29_menfer",TRUE,"b","mp_HC_LP_HF_29_menfer_b"
"135556",162410,58,"sm","4","HC","LP","HF",30,"alninc",15,100,15,40,10,40,9,20,NA,NA,"sm_HC_LP_HF_30_alninc",TRUE,"b","sm_HC_LP_HF_30_alninc_b"
"135561",162415,58,"mp","10","HC","LP","HF",31,"shecan",17,50,15,90,11,5,3,5,15,50,"mp_HC_LP_HF_31_shecan",TRUE,"b","mp_HC_LP_HF_31_shecan_b"
"135576",162430,58,"mp","9","HC","LP","HF",33,"rubpar",0,100,17,30,1,70,NA,NA,NA,NA,"mp_HC_LP_HF_33_rubpar",TRUE,"b","mp_HC_LP_HF_33_rubpar_b"
"135583",162437,58,"mp","9","HC","LP","HF",34,"alninc",15,100,17,35,15,65,NA,NA,NA,NA,"mp_HC_LP_HF_34_alninc",TRUE,"b","mp_HC_LP_HF_34_alninc_b"
"135588",162442,58,"sm","cl","HC","LP","HF",34,"rubpar",11,100,17,30,7,30,3,40,NA,NA,"sm_HC_LP_HF_34_rubpar",TRUE,"b","sm_HC_LP_HF_34_rubpar_b"
"135612",162467,58,"sm","oc25","HC","LP","HF",37,"vacmem",3,100,17,40,15,10,10,5,NA,NA,"sm_HC_LP_HF_37_vacmem",TRUE,"b","sm_HC_LP_HF_37_vacmem_b"
"135613",162468,58,"sm","oc25","HC","LP","HF",37,"vacmem",3,100,17,5,11,20,9,5,NA,NA,"sm_HC_LP_HF_37_vacmem",TRUE,"b","sm_HC_LP_HF_37_vacmem_b"
"135616",162471,58,"mp","Ase","HC","LP","HF",38,"samrac",15,50,15,50,9,50,NA,NA,3,50,"mp_HC_LP_HF_38_samrac",TRUE,"b","mp_HC_LP_HF_38_samrac_b"
"135624",162479,58,"mp","8","HC","LP","HF",39,"popbal",17,80,17,100,NA,NA,NA,NA,3,20,"mp_HC_LP_HF_39_popbal",TRUE,"b","mp_HC_LP_HF_39_popbal_b"
"135655",162510,58,"mp","13","HC","LP","LF",3,"sorsco",17,50,1,100,NA,NA,NA,NA,11,50,"mp_HC_LP_LF_3_sorsco",TRUE,"b","mp_HC_LP_LF_3_sorsco_b"
"135669",162525,58,"mp","10","HC","LP","LF",5,"shecan",11,100,15,20,15,30,3,10,NA,NA,"mp_HC_LP_LF_5_shecan",TRUE,"b","mp_HC_LP_LF_5_shecan_b"
"135678",162534,58,"mp","wjt","HC","LP","LF",6,"spipyr",17,100,15,10,11,10,9,5,NA,NA,"mp_HC_LP_LF_6_spipyr",TRUE,"b","mp_HC_LP_LF_6_spipyr_b"
"135681",162537,58,"sm","12","HC","LP","LF",6,"sorsco",17,50,11,30,7,35,3,35,15,50,"sm_HC_LP_LF_6_sorsco",TRUE,"b","sm_HC_LP_LF_6_sorsco_b"
"135737",162594,58,"mp","7","HC","LP","LF",14,"amealn",17,30,17,5,11,35,10,10,10,70,"mp_HC_LP_LF_14_amealn",TRUE,"b","mp_HC_LP_LF_14_amealn_b"
"135762",162619,58,"mp","tml","HC","LP","LF",17,"rubpar",15,50,15,30,3,50,0,20,7,50,"mp_HC_LP_LF_17_rubpar",TRUE,"b","mp_HC_LP_LF_17_rubpar_b"
"135766",162623,58,"sm","12","HC","LP","LF",17,"sorsco",17,100,1,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_LF_17_sorsco",TRUE,"b","sm_HC_LP_LF_17_sorsco_b"
"135774",162631,58,"sm",NA,"HC","LP","LF",18,"spibet",15,100,17,25,1,75,NA,NA,NA,NA,"sm_HC_LP_LF_18_spibet",TRUE,"b","sm_HC_LP_LF_18_spibet_b"
"135807",162666,58,"mp","sf","HC","LP","LF",23,"symalb",NA,NA,15,30,11,20,10,5,NA,NA,"mp_HC_LP_LF_23_symalb",TRUE,"b","mp_HC_LP_LF_23_symalb_b"
"135813",162672,58,"mp","10","HC","LP","LF",24,"popbal",17,75,NA,NA,NA,NA,NA,NA,11,25,"mp_HC_LP_LF_24_popbal",TRUE,"b","mp_HC_LP_LF_24_popbal_b"
"135847",162708,58,"sm","A","HC","LP","LF",28,"amealn",10,100,11,30,10,50,3,10,NA,NA,"sm_HC_LP_LF_28_amealn",TRUE,"b","sm_HC_LP_LF_28_amealn_b"
"135854",162715,58,"mp","4","HC","LP","LF",29,"vibedu",9,100,15,40,11,10,7,20,NA,NA,"mp_HC_LP_LF_29_vibedu",TRUE,"b","mp_HC_LP_LF_29_vibedu_b"
"135856",162717,58,"sm","4","HC","LP","LF",29,"alninc",15,50,15,40,10,40,9,20,11,50,"sm_HC_LP_LF_29_alninc",TRUE,"b","sm_HC_LP_LF_29_alninc_b"
"135858",162719,58,"sm","b","HC","LP","LF",29,"betpap",15,50,15,50,11,50,NA,NA,9,50,"sm_HC_LP_LF_29_betpap",TRUE,"b","sm_HC_LP_LF_29_betpap_b"
"135897",162758,58,"sm","6","HC","LP","LF",34,"alnvir",10,50,11,30,7,15,3,50,9,50,"sm_HC_LP_LF_34_alnvir",TRUE,"b","sm_HC_LP_LF_34_alnvir_b"
"135914",162776,58,"sm","9","HC","LP","LF",36,"corsto",15,100,11,50,9,50,NA,NA,NA,NA,"sm_HC_LP_LF_36_corsto",TRUE,"b","sm_HC_LP_LF_36_corsto_b"
"135925",162788,58,"mp","10","HC","LP","LF",38,"corsto",3,100,3,65,0,35,NA,NA,NA,NA,"mp_HC_LP_LF_38_corsto",TRUE,"b","mp_HC_LP_LF_38_corsto_b"
"135973",85516,59,"mp","10","LC","HP","HF",4,"shecan",17,100,15,85,10,10,3,5,NA,NA,"mp_LC_HP_HF_4_shecan",TRUE,"b","mp_LC_HP_HF_4_shecan_b"
"135978",85521,59,"sm",NA,"LC","HP","HF",4,"spibet",17,50,17,40,11,10,9,30,11,25,"sm_LC_HP_HF_4_spibet",TRUE,"b","sm_LC_HP_HF_4_spibet_b"
"136000",85543,59,"sm","A branched","LC","HP","HF",7,"corsto",17,100,17,90,10,10,NA,NA,NA,NA,"sm_LC_HP_HF_7_corsto",TRUE,"b","sm_LC_HP_HF_7_corsto_b"
"136010",85553,59,"sm",NA,"LC","HP","HF",8,"riblac",1,100,15,10,3,40,1,20,NA,NA,"sm_LC_HP_HF_8_riblac",TRUE,"b","sm_LC_HP_HF_8_riblac_b"
"136012",85555,59,"mp",NA,"LC","HP","HF",9,"samrac",NA,NA,10,50,3,50,NA,NA,NA,NA,"mp_LC_HP_HF_9_samrac",TRUE,"b","mp_LC_HP_HF_9_samrac_b"
"136018",85561,59,"sm","B","LC","HP","HF",9,"vacmem",17,5,3,80,1,20,NA,NA,7,5,"sm_LC_HP_HF_9_vacmem",TRUE,"b","sm_LC_HP_HF_9_vacmem_b"
"136026",85569,59,"sm",NA,"LC","HP","HF",10,"symalb",NA,NA,3,60,1,20,0,20,NA,NA,"sm_LC_HP_HF_10_symalb",TRUE,"b","sm_LC_HP_HF_10_symalb_b"
"136084",85627,59,"mp",NA,"LC","HP","HF",18,"spipyr",15,100,15,50,9,25,3,25,NA,NA,"mp_LC_HP_HF_18_spipyr",TRUE,"b","mp_LC_HP_HF_18_spipyr_b"
"136088",85631,59,"sm",NA,"LC","HP","HF",18,"sorsco",17,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_18_sorsco",TRUE,"b","sm_LC_HP_HF_18_sorsco_b"
"136092",85635,59,"mp","7","LC","HP","HF",19,"alnvir",7,50,3,100,NA,NA,NA,NA,3,50,"mp_LC_HP_HF_19_alnvir",TRUE,"b","mp_LC_HP_HF_19_alnvir_b"
"136112",85655,59,"sm",NA,"LC","HP","HF",21,"amealn",17,100,17,70,11,10,9,5,NA,NA,"sm_LC_HP_HF_21_amealn",TRUE,"b","sm_LC_HP_HF_21_amealn_b"
"136116",85659,59,"mp","10","LC","HP","HF",22,"alninc",17,100,15,40,11,60,NA,NA,NA,NA,"mp_LC_HP_HF_22_alninc",TRUE,"b","mp_LC_HP_HF_22_alninc_b"
"136149",85692,59,"mp",NA,"LC","HP","HF",26,"vibedu",17,100,3,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_26_vibedu",TRUE,"b","mp_LC_HP_HF_26_vibedu_b"
"136151",85694,59,"sm","9","LC","HP","HF",26,"acegla",10,50,9,35,7,10,1,20,7,50,"sm_LC_HP_HF_26_acegla",TRUE,"b","sm_LC_HP_HF_26_acegla_b"
"136171",85714,59,"mp",NA,"LC","HP","HF",29,"shecan",17,25,15,90,9,5,3,5,15,75,"mp_LC_HP_HF_29_shecan",TRUE,"b","mp_LC_HP_HF_29_shecan_b"
"136174",85717,59,"sm",NA,"LC","HP","HF",29,"shecan",17,100,15,70,11,5,9,5,NA,NA,"sm_LC_HP_HF_29_shecan",TRUE,"b","sm_LC_HP_HF_29_shecan_b"
"136179",85722,59,"mp",NA,"LC","HP","HF",30,"symalb",NA,NA,17,5,7,35,3,50,NA,NA,"mp_LC_HP_HF_30_symalb",TRUE,"b","mp_LC_HP_HF_30_symalb_b"
"136187",85730,59,"mp","B","LC","HP","HF",31,"vacmem",1,80,17,20,10,10,7,5,NA,NA,"mp_LC_HP_HF_31_vacmem",TRUE,"b","mp_LC_HP_HF_31_vacmem_b"
"136196",85739,59,"mp","B","LC","HP","HF",32,"spibet",1,100,7,70,3,10,1,20,NA,NA,"mp_LC_HP_HF_32_spibet",TRUE,"b","mp_LC_HP_HF_32_spibet_b"
"136221",85766,59,"sm","11","LC","HP","HF",35,"menfer",NA,NA,15,15,11,15,9,20,NA,NA,"sm_LC_HP_HF_35_menfer",TRUE,"b","sm_LC_HP_HF_35_menfer_b"
"136230",85775,59,"sm","2","LC","HP","HF",36,"vibedu",17,100,17,80,10,15,NA,NA,NA,NA,"sm_LC_HP_HF_36_vibedu",TRUE,"b","sm_LC_HP_HF_36_vibedu_b"
"136244",85791,59,"sm","B","LC","HP","HF",38,"symalb",NA,NA,7,10,3,50,1,30,NA,NA,"sm_LC_HP_HF_38_symalb",TRUE,"b","sm_LC_HP_HF_38_symalb_b"
"136288",85835,59,"mp","tml-unbranched","LC","HP","LF",4,"spibet",1,100,1,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_4_spibet",TRUE,"b","mp_LC_HP_LF_4_spibet_b"
"136302",85849,59,"mp","4","LC","HP","LF",6,"alninc",17,100,15,30,11,30,10,20,11,70,"mp_LC_HP_LF_6_alninc",TRUE,"b","mp_LC_HP_LF_6_alninc_b"
