day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,,,,,,,,
19,mp,LHH,10,6,corsto,11,100,1,11,30,10,70,,,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,10,6,loninv,7,50,2,7,5,1,95,NA,NA,15,NA,3,50,,,,,,,,
19,mp,LHH,8,6,riblac,7,100,5,9,20,7,25,3,55,,,3,80,,,,,,,,
19,mp,LHH,sg,6,rubpar,3,100,2,3,60,1,40,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,2,6,alnvir,0,100,1,0,100,NA,NA,NA,NA,9,NA,NA,NA,,,,,,,,
19,sm,LHH,11,6,sorsco,7,100,1,1,50,0,50,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH, cl,6,symalb,NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,8,6,vacmem,3,100,NA,9,20,7,40,3,30,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,2,7,riblac,9,10,8,7,20,3,40,1,20,NA,NA,7,40,,,,,,,,
19,mp,LHH,sg,7,rubpar,1,100,1,1,75,0,25,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,wjt,7,spipyr,9,100,1,10,25,9,25,3,40,12,NA,NA,NA,,,,,,,,
19,mp,LHH,11,7,vibedu,3,100,1,9,10,3,30,NA,NA,10,NA,NA,NA,,,,,,,,
19,sm,LHH,8,7,corsto,1,100,2,1,65,45,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH, A branched,7,corsto,15,25,4,7,50,3,25,1,25,8,NA,11,75,,,,,,,,
19,sm,LHH,8,7,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,3,7,riblac,3,100,1,7,30,3,50,1,20,14,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,8,rhoalb,10,80,5,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,8,riblac,3,100,1,3,70,1,30,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,8,spibet,1,100,1,7,50,3,50,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,8,spipyr,1,100,1,9,30,7,20,3,30,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,8,betpap,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,8,corsto,7,100,1,11,10,10,20,7,20,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,8,riblac,7,100,1,7,10,3,30,1,30,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,8,riblac,0,100,2,7,10,3,40,1,20,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,6,9,samrac,7,100,2,3,70,1,30,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,9,samrac,NA,NA,NA,3,100,NA,NA,NA,NA,NA,DEAD,NA,NA,,,,,,,,
19,mp,LHH,NA,9,sorsco,7,100,1,1,100,NA,NA,NA,NA,5,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,9,vibedu,7,100,1,3,75,1,25,NA,NA,8,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,9,poptre,1,100,1,1,40,0,60,NA,NA,8,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,9,rubpar,1,100,2,1,50,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,A,9,vacmem,3,100,NA,7,10,3,50,1,40,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,B,9,vacmem,3,100,NA,3,80,1,20,,,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,10,alnvir,3,100,2,3,70,7,5,1,25,13,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,10,loninv,3,100,1,3,20,1,80,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,10,menfer,1,25,4,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,10,spipyr,3,100,NA,7,10,3,20,1,30,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,10,riblac,7,100,1,9,25,3,70,0,5,NA,NA,NA,NA,,,,,,,,
