day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t
23,sm,LHH,NA,3,corsto,10,100,1,9,80,7,10,1,10,NA,NA,NA,NA
23,sm,LHH,9,3,menfer,1,100,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,3,shecan,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,3,spibet,15,100,1,10,10,7,65,3,15,NA,NA,NA,NA
23,mp,LHH,1,4,corsto,9,100,1,10,35,9,50,3,10,8,NA,NA,NA
23,mp,LHH,9,4,shecan,9,50,2,7,10,3,70,1,20,NA,60,3,50
23,mp,LHH,10,4,shecan,9,100,1,9,60,3,30,1,10,NA,60,NA,NA
23,mp,LHH,A eg,4,symalb,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,1,4,menfer,1,80,16,0,100,NA,NA,NA,NA,NA,NA,0,20
23,sm,LHH,8,4,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,straight,4,spibet,1,100,1,11,25,3,25,1,25,NA,NA,NA,NA
23,sm,LHH,NA,4,spibet,15,50,4,11,20,10,10,7,30,18,NA,7,25
23,mp,LHH,1,5,alnvir,1,100,3,3,20,1,20,0,60,8,NA,NA,NA
23,mp,LHH,A,5,loninv,7,100,1,1,100,NA,NA,NA,NA,2,NA,NA,NA
23,mp,LHH,14,5,sorsco,7,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,2,5,spipyr,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,6,5,betpap,7,100,2,7,80,3,20,NA,NA,5,NA,NA,NA
23,sm,LHH,5,5,loninv,7,25,8,9,30,7,10,3,25,33,NA,3,75
23,sm,LHH, A36,5,spibet,3,100,5,7,40,3,40,1,15,NA,NA,NA,NA
23,sm,LHH,2,5,vibedu,11,60,5,15,5,10,25,9,5,16,NA,10,40
23,mp,LHH,10,6,corsto,11,100,1,11,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,10,6,loninv,9,50,2,9,5,3,20,1,75,15,NA,3,50
23,mp,LHH,8,6,riblac,9,50,5,9,25,7,25,3,55,,,3,80
23,mp,LHH,sg,6,rubpar,7,100,2,7,60,1,40,NA,NA,NA,NA,NA,NA
23,sm,LHH,2,6,alnvir,0,100,1,0,100,NA,NA,NA,NA,9,NA,NA,NA
23,sm,LHH,11,6,sorsco,9,100,1,1,50,0,50,NA,NA,NA,NA,NA,NA
23,sm,LHH, cl,6,symalb,NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,8,6,vacmem,7,50,NA,10,10,9,20,7,20,NA,NA,3,50
23,mp,LHH,2,7,riblac,9,10,8,7,20,3,40,1,20,NA,NA,7,40
23,mp,LHH,sg,7,rubpar,7,100,1,3,75,0,25,NA,NA,NA,NA,NA,NA
23,mp,LHH,wjt,7,spipyr,10,100,1,11,25,10,25,9,20,12,NA,NA,NA
23,mp,LHH,11,7,vibedu,7,100,1,9,10,3,50,NA,NA,10,NA,NA,NA
23,sm,LHH,8,7,corsto,1,100,2,1,65,45,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH, A branched,7,corsto,15,100,4,10,50,7,10,3,10,8,NA,11,75
23,sm,LHH,8,7,popbal,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,3,7,riblac,7,100,1,10,30,3,50,1,20,14,NA,NA,NA
23,mp,LHH,NA,8,rhoalb,11,100,5,7,5,3,95,NA,NA,13,NA,NA,NA
23,mp,LHH,NA,8,riblac,3,100,1,3,70,1,30,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,8,spibet,1,100,1,9,50,3,50,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,8,spipyr,1,100,1,10,60,9,20,3,20,NA,NA,NA,NA
23,sm,LHH,NA,8,betpap,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,8,corsto,10,100,1,11,50,10,30,3,15,NA,NA,NA,NA
