day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,Final.percent,Final.percent,
55,sm,LHH,NA,18,symalb,NA,NA,NA,1,100,2,0,100,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,19,acegla,3,100,3,1,60,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,5,19,alnvir,10,100,2,10,15,9,45,7,30,7,NA,NA,NA,,,
55,mp,LHH,7,19,alnvir,3,100,4,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,19,samrac,7,50,2,10,50,1,50,NA,NA,NA,NA,3,50,,,
55,sm,LHH,NA,19,acegla,3,100,1,11,15,10,25,3,60,8,NA,NA,NA,,,
55,sm,LHH,NA,19,poptre,17,100,6,17,50,15,35,3,15,16,NA,,,,,
55,sm,LHH,NA,19,riblac,3,30,9,7,5,3,20,0,30,NA,NA,1,70,,,
55,sm,LHH,NA,19,sorsco,0,100,1,17,35,1,35,0,30,NA,NA,NA,NA,,,
55,sm,LHH,NA,19,spibet,17,100,2,17,20,11,20,9,20,NA,NA,,,,,
55,mp,LHH,NA,20,acegla,1,80,10,1,50,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,20,rhoalb,17,25,4,10,40,7,5,3,55,11,NA,10,75,,,
55,mp,LHH,NA,20,riblac,15,30,7,17,5,9,30,3,65,NA,NA,NA,NA,,,
55,mp,LHH,NA,20,spibet,0,100,0,7,25,0,75,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,20,alnvir,10,100,1,11,45,7,15,3,40,8,NA,NA,NA,,,
55,sm,LHH,NA,20,betpap,15,100,3,15,50,11,50,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,20,rubpar,3,100,1,15,50,11,25,3,25,y,NA,NA,NA,,,
55,mp,LHH,4,21,acegla,1,100,3,7,5,3,50,1,45,14,NA,NA,NA,,,
55,mp,LHH,7,21,menfer,7,20,12,17,50,15,30,10,5,18,y,3,70,,,
55,mp,LHH,11,21,rhoalb,17,30,6,11,10,10,5,9,20,18,NA,15,70,,,
55,mp,LHH,NA,21,spipyr,9,100,1,17,50,9,25,3,25,NA,NA,NA,NA,,,
55,sm,LHH,NA,21,alninc,17,25,4,17,15,15,25,11,15,12,NA,11,75,,,
55,sm,LHH,7,21,amealn,17,100,1,17,25,10,25,9,25,8,NA,NA,NA,,,
