day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments
116,sm,HC_HP_HF,20,13,popbal,17,100,1,17,100,,,NA,NA,3,NA,NA,NA,
116,sm,HC_HP_HF,5,13,sorsco,17,100,2,0,100,NA,NA,NA,NA,3,NA,NA,NA,sv
116,sm,HC_HP_HF, ,13,symalb,NA,NA,NA,17,40,15,25,11,5,NA,NA,NA,NA,
116,mp,HC_HP_HF,1,14,alnvir,15,50,2,11,50,9,30,3,20,6,NA,7,50,remaining buds dead
116,mp,HC_HP_HF,6,14,amealn,17,100,2,17,15,11,15,10,40,24,y,NA,NA,
116,mp,HC_HP_HF,tml,14,spibet,15,100,1,17,15,15,30,9,30,7,NA,NA,NA,
116,mp,HC_HP_HF,2,14,spipyr,17,100,2,15,20,9,10,1,30,14,NA,NA,NA,
116,sm,HC_HP_HF,11,14,acegla,9,70,3,15,30,1,70,NA,NA,3,NA,3,30,died
116,sm,HC_HP_HF,10,14,loninv,3,100,2,17,20,10,40,9,30,10,y,NA,NA,remaining buds dried out & brown
116,sm,HC_HP_HF, #3,14,menfer,0,100,NA,10,10,7,80,0,10,14,y,NA,NA,
116,sm,HC_HP_HF,11,14,poptre,17,30,10,17,40,3,60,NA,NA,5,NA,11,40,
116,mp,HC_HP_HF,6,15,alnvir,15,100,1,17,20,15,60,11,20,5,NA,NA,NA,
116,mp,HC_HP_HF,6,15,poptre,17,60,8,17,30,3,70,NA,NA,3,NA,11,40,remaining buds dead
116,mp,HC_HP_HF,1,15,rhoalb,17,25,8,15,5,11,15,9,15,26,NA,11,60,
116,mp,HC_HP_HF,NA,15,spibet,11,100,1,11,25,1,75,NA,NA,6,NA,NA,NA,
116,sm,HC_HP_HF,1,15,amealn,17,100,1,15,30,11,30,10,40,6,NA,NA,NA,
116,sm,HC_HP_HF,9,15,loninv,NA,NA,NA,17,20,11,10,10,30,10,y,NA,NA,remaining buds dried out & brown
116,sm,HC_HP_HF,6,15,sorsco,11,100,1,0,100,NA,NA,NA,NA,2,NA,NA,NA,sv
116,sm,HC_HP_HF, A28,15,spibet,17,100,2,17,50,15,5,11,10,12,NA,NA,NA,
116,mp,HC_HP_HF,A,16,loninv,15,40,5,0,100,NA,NA,NA,NA,NA,NA,11,60,
116,mp,HC_HP_HF,9,16,poptre,17,100,1,17,20,15,10,11,10,10,NA,NA,NA,remaining buds dead
116,mp,HC_HP_HF,5,16,samrac,17,50,2,NA,NA,NA,NA,NA,NA,NA,NA,9,50,
116,mp,HC_HP_HF,wjt,16,spibet,17,100,1,9,20,7,80,NA,NA,5,NA,NA,NA,sv
116,sm,HC_HP_HF, onionE,16,popbal,17,100,1,17,75,11,25,NA,NA,4,NA,NA,NA,
116,sm,HC_HP_HF, A,16,shecan,15,85,6,15,50,11,45,7,5,29,y,9,15,
116,sm,HC_HP_HF,NA,16,spibet,17,100,1,17,25,15,5,10,15,17,NA,NA,NA,
116,sm,HC_HP_HF,NA,16,symalb,NA,NA,NA,15,25,11,10,10,5,NA,NA,NA,NA,
116,mp,HC_HP_HF,Tml,17,acegla,15,5,26,10,10,7,20,3,70,10,y,10,15,2 buds have wite mould 
116,mp,HC_HP_HF,4,17,alninc,17,50,2,15,30,11,15,9,60,7,NA,11,50,
116,mp,HC_HP_HF,5,17,alninc,NA,NA,NA,17,85,9,15,,,6,NA,NA,NA,
116,mp,HC_HP_HF,5,17,samrac,17,50,2,1,100,NA,NA,NA,NA,2,y,3,50,2nd term b dead
116,sm,HC_HP_HF, onionE,17,popbal,17,100,1,17,100,,,NA,NA,4,NA,NA,NA,
116,sm,HC_HP_HF,NA,17,rubpar,17,100,1,10,100,NA,NA,NA,NA,2,y,NA,NA,died
116,sm,HC_HP_HF,NA,17,rubpar,0,100,2,15,50,0,50,NA,NA,NA,NA,NA,NA,remaining buds dead
116,sm,HC_HP_HF,3,17,vibedu,17,30,3,17,40,15,10,9,10,12,y,15,30,
116,mp,HC_HP_HF,6,18,poptre,17,85,7,17,100,NA,NA,NA,NA,1,NA,15,15,
116,mp,HC_HP_HF,3,18,samrac,17,50,2,NA,NA,NA,NA,NA,NA,NA,y,3,50,
116,mp,HC_HP_HF,wjt,18,spipyr,17,100,1,11,25,9,25,3,50,8,NA,NA,NA,
116,mp,HC_HP_HF,9,18,vibedu,17,100,2,17,10,15,50,11,15,12,NA,NA,NA,buds still viable
116,sm,HC_HP_HF,5,18,alninc,11,100,1,17,30,15,50,10,15,6,NA,NA,NA,
116,sm,HC_HP_HF,2,18,menfer,0,100,NA,15,20,11,10,3,30,21,y,NA,NA,
116,sm,HC_HP_HF,20,18,popbal,17,25,4,NA,NA,NA,NA,NA,NA,NA,NA,15,50,other 2 buds dried out
116,mp,HC_HP_HF,8,19,shecan,15,100,1,15,75,11,25,,,NA,y,NA,NA,
116,mp,HC_HP_HF,eg,19,symalb,NA,NA,NA,17,50,11,5,0,45,NA,NA,NA,NA,
116,mp,HC_HP_HF,ll,19,vacmem,15,10,NA,15,35,10,5,3,5,NA,NA,NA,NA,
116,mp,HC_HP_HF,ll,19,vacmem,17,10,NA,17,50,11,15,1,35,NA,NA,10,5,
116,sm,HC_HP_HF,5,19,alninc,11,100,1,15,30,11,70,NA,NA,3,NA,NA,NA,died
