day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t
27,mp,LHH,NA,8,spibet,7,100,1,10,50,7,50,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,8,spipyr,3,100,1,11,60,10,20,3,20,NA,NA,NA,NA
27,sm,LHH,NA,8,betpap,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,8,corsto,10,100,1,11,50,10,30,3,15,NA,NA,NA,NA
27,sm,LHH,NA,8,riblac,9,100,1,7,10,3,30,1,30,NA,NA,NA,NA
27,sm,LHH,NA,8,riblac,0,100,2,7,10,3,40,1,20,NA,NA,NA,NA
27,mp,LHH,6,9,samrac,9,100,2,7,50,3,50,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,9,samrac,NA,NA,NA,3,100,NA,NA,NA,NA,NA,DEAD,NA,NA
27,mp,LHH,NA,9,sorsco,11,100,1,7,25,3,75,NA,NA,5,NA,NA,NA
27,mp,LHH,NA,9,vibedu,11,100,1,7,10,3,75,1,15,8,NA,NA,NA
27,sm,LHH,NA,9,poptre,1,100,1,1,40,0,60,NA,NA,8,NA,NA,NA
27,sm,LHH,NA,9,rubpar,1,100,2,1,50,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,A,9,vacmem,3,100,NA,10,20,9,10,3,50,NA,NA,NA,NA
27,sm,LHH,B,9,vacmem,9,5,NA,3,80,1,20,NA,NA,NA,NA,3,95
27,mp,LHH,NA,10,alnvir,3,100,2,7,5,3,70,1,25,13,NA,NA,NA
27,mp,LHH,NA,10,loninv,3,100,1,9,20,3,15,1,70,6,NA,NA,NA
27,mp,LHH,NA,10,menfer,1,25,4,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,10,spipyr,10,100,NA,11,40,9,20,7,20,5,NA,NA,NA
27,sm,LHH,NA,10,riblac,11,100,1,11,25,7,10,3,50,19,NA,NA,NA
27,sm,LHH,NA,10,rupar,0,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,10,symalb,NA,NA,NA,3,30,1,70,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,10,symalb,NA,NA,NA,3,60,1,20,0,20,NA,NA,NA,NA
27,mp,LHH,NA,11,acegla,3,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,11,alninc,7,100,3,7,100,,,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,11,amealn,7,100,2,3,70,1,30,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,11,vacmem,15,20,13,11,20,9,30,7,20,NA,NA,10,20
27,sm,LHH,NA,11,rubpar,9,100,1,10,25,7,50,3,25,NA,NA,NA,NA
27,sm,LHH,NA,11,spipyr,10,100,1,9,20,7,20,3,60,10,NA,NA,NA
27,sm,LHH, oc21,11,vacmem,3,100,NA,15,50,11,10,9,5,NA,NA,1,20
27,mp,LHH,Feg,12,poptre,0,100,2,0,100,NA,NA,NA,NA,18,NA,NA,NA
27,mp,LHH,Bsf,12,riblac,3,100,14,7,20,3,70,1,10,NA,NA,NA,NA
27,mp,LHH,14,12,sorsco,11,30,3,11,15,3,85,NA,NA,NA,NA,10,30
27,mp,LHH,2,12,spipyr,3,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,12,corsto,15,100,1,15,30,10,15,7,45,7,NA,NA,NA
27,sm,LHH,NA,12,loninv,9,60,5,9,15,7,10,3,55,16,NA,7,30
27,sm,LHH,NA,12,poptre,1,50,11,1,100,NA,NA,NA,NA,5,NA,0,50
27,sm,LHH,NA,12,symalb,NA,NA,NA,3,70,1,30,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,13,alninc,3,100,2,1,50,0,50,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,13,loninv,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,13,popbal,3,100,1,10,20,7,40,3,50,NA,NA,NA,NA
27,mp,LHH,NA,13,vacmem,3,100,12,15,15,7,15,3,70,NA,NA,NA,NA
27,sm,LHH,NA,13,alnvir,0,100,2,1,10,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,13,corsto,10,100,1,10,60,7,30,,,6,NA,NA,NA
27,sm,LHH,NA,13,rubpar,3,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,14,rhoalb,11,100,4,9,20,7,20,3,60,6,NA,NA,NA
27,mp,LHH,NA,14,sorsco,10,100,1,11,25,9,25,1,50,8,NA,NA,NA
27,mp,LHH,NA,14,symalb,NA,NA,NA,7,100,,,NA,NA,17,NA,NA,NA
27,mp,LHH,NA,14,vibedu,10,100,1,9,15,7,15,3,70,6,NA,NA,NA
27,sm,LHH,10,14,acegla,9,70,3,3,80,1,20,NA,NA,13,NA,NA,NA
27,sm,LHH,4,14,alninc,NA,NA,NA,9,30,3,60,NA,NA,4,NA,NA,NA
27,sm,LHH,3,14,popbal,15,100,1,10,40,9,40,1,20,NA,NA,NA,NA
27,mp,LHH,NA,15,amealn,7,100,1,7,30,3,40,1,30,10,NA,NA,NA
27,mp,LHH,NA,15,menfer,1,20,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,15,rhoalb,10,100,4,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,15,samrac,3,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,15,menfer,7,100,4,7,20,3,80,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,15,rubpar,1,100,2,1,90,0,10,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,15,shecan,9,50,2,10,90,7,5,3,5,NA,y,7,50
27,sm,LHH,NA,15,spipyr,NA,NA,NA,15,15,11,15,9,30,9,NA,NA,NA
27,mp,LHH,8,16,corsto,15,100,1,11,60,10,40,9,20,6,NA,NA,NA
27,mp,LHH,3,16,rhoalb,11,100,3,3,70,1,30,NA,13,NA,NA,NA,NA
27,mp,LHH,8,16,riblac,9,20,5,7,20,3,60,1,10,NA,NA,7,40
27,mp,LHH,tml,16,spibet,7,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,2,16,alninc,3,100,3,3,35,1,20,0,45,NA,NA,NA,NA
27,sm,LHH,10,16,alnvir,1,100,2,1,55,0,45,NA,NA,7,NA,NA,NA
27,sm,LHH,11,16,corsto,15,100,1,15,50,10,50,,,NA,NA,NA,NA
27,sm,LHH, oc21,16,vacmem,15,40,NA,11,30,10,20,9,15,NA,NA,11,60
27,mp,LHH,bLL,17,alninc,9,100,1,7,30,3,70,NA,NA,6,NA,NA,NA
27,mp,LHH,7,17,amealn,10,15,7,9,20,7,30,3,40,41,NA,7,85
27,mp,LHH,14,17,sorsco,10,100,1,11,25,10,25,9,25,NA,NA,NA,NA
27,mp,LHH,10,17,vibedu,15,35,3,3,95,1,5,NA,NA,14,NA,11,35
27,sm,LHH,8,17,popbal,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,17,sorsco,9,100,2,9,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,17,spibet,1,100,1,15,25,9,25,7,50,NA,NA,NA,NA
27,sm,LHH,NA,17,symalb,NA,NA,NA,3,30,1,40,0,30,NA,NA,NA,NA
27,sm,LHH,3,17,vibedu,15,100,2,15,15,10,15,7,45,13,NA,NA,NA
27,mp,LHH,NA,18,loninv,3,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,18,riblac,7,100,2,7,30,3,60,1,10,NA,NA,NA,NA
27,mp,LHH,branched,18,spipyr,10,100,NA,9,20,7,40,3,30,NA,NA,NA,NA
27,mp,LHH,NA,18,spipyr,7,100,1,10,25,9,25,1,50,NA,NA,NA,NA
27,sm,LHH,NA,18,amealn,NA,NA,NA,10,10,9,30,7,20,12,NA,NA,NA
27,sm,LHH,NA,18,loninv,3,100,1,1,65,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,added one,18,sorsco,10,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,18,sorsco,10,100,1,0,100,NA,NA,NA,NA,NA,y,NA,NA
27,sm,LHH,NA,18,symalb,NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,19,acegla,3,100,3,1,60,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,5,19,alnvir,3,100,2,3,75,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,7,19,alnvir,3,100,4,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,19,samrac,1,50,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,19,acegla,3,100,1,3,70,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,19,poptre,1,100,6,1,80,0,20,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,19,riblac,3,30,9,3,20,1,50,0,30,NA,NA,1,70
27,sm,LHH,NA,19,sorsco,0,100,1,10,33,1,33,0,33,NA,NA,NA,NA
27,sm,LHH,NA,19,spibet,11,25,4,10,20,9,20,7,40,NA,NA,7,75
27,mp,LHH,NA,20,acegla,1,80,10,1,50,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,20,rhoalb,11,25,4,9,20,7,20,3,50,9,NA,10,50
27,mp,LHH,NA,20,riblac,7,30,7,10,5,9,30,3,65,NA,NA,NA,NA
27,mp,LHH,NA,20,spibet,0,100,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,20,alnvir,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,20,betpap,9,100,3,9,100,,,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,20,rubpar,3,100,1,3,25,1,75,NA,NA,NA,NA,NA,NA
27,mp,LHH,4,21,acegla,1,100,3,1,50,0,50,NA,NA,14,NA,NA,NA
27,mp,LHH,7,21,menfer,3,50,12,9,10,7,70,3,20,18,NA,1,50
27,mp,LHH,11,21,rhoalb,11,100,6,9,50,3,20,1,20,18,NA,NA,NA
27,mp,LHH,NA,21,spipyr,9,100,1,15,50,7,25,3,25,NA,NA,NA,NA
27,sm,LHH,NA,21,alninc,7,50,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,7,21,amealn,11,100,1,10,45,9,40,3,15,8,NA,NA,NA
27,sm,LHH,NA,21,amealn,10,100,1,10,70,1,15,NA,NA,7,NA,NA,NA
27,sm,LHH,NA,21,menfer,1,80,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,22,acegla,3,100,1,3,90,1,10,NA,NA,NA,NA,NA,NA
27,mp,LHH,9,22,alninc,3,100,1,1,30,0,70,NA,NA,10,NA,NA,NA
27,mp,LHH,10,22,alninc,11,100,1,11,30,10,60,9,10,7,NA,NA,NA
27,mp,LHH,10,22,spibet,11,100,1,9,65,3,35,NA,NA,3,NA,NA,NA
27,sm,LHH,NA,22,corsto,17,100,1,11,80,10,20,,,8,y,NA,NA
27,sm,LHH,NA,22,riblac,9,100,1,11,20,10,20,7,15,NA,NA,NA,NA
