day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments,
113,sm,LHH,NA,22,corsto,17,100,1,17,80,15,20,NA,NA,8,y,NA,NA,,
113,sm,LHH,NA,22,riblac,17,100,1,17,40,11,30,9,10,20,NA,NA,NA,,
113,sm,LHH,NA,22,shecan,17,100,1,17,90,15,5,3,5,NA,NA,NA,NA,,
113,sm,LHH,NA,22,spibet,17,60,5,17,60,15,5,3,20,NA,NA,3,20,tunring yellow,
113,sm,LHH,NA,22,spipyr,1,100,1,17,10,9,10,7,i,24,NA,NA,NA,turning yellow,
113,mp,LHH,NA,23,alnvir,15,50,2,15,20,3,80,NA,NA,5,NA,7,50,"buds black coat, green inside, leaves dead",
113,mp,LHH,NA,23,popbal,17,100,1,17,100,NA,NA,NA,NA,4,NA,NA,NA,,
113,mp,LHH,NA,23,rhoalb,17,100,4,9,20,3,50,1,30,NA,y,7,25,,
113,mp,LHH,NA,23,vacmem,7,20,5,17,10,11,10,7,30,10,NA,NA,NA,,
113,sm,LHH,NA,23,alnvir,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,NA,23,betpap,17,100,1,17,60,11,40,10,20,5,NA,NA,NA,,
113,sm,LHH,NA,23,menfer,3,30,7,15,30,10,5,7,5,20,y,NA,NA,,
113,mp,LHH,5,24,poptre,17,75,4,NA,NA,NA,NA,NA,NA,NA,NA,9,25,,
113,mp,LHH,13,24,sorsco,17,100,1,1,100,NA,NA,NA,NA,NA,y,NA,NA,,
113,mp,LHH,9,24,symalb,NA,NA,NA,11,5,7,15,3,40,NA,NA,NA,NA,buds are green but dry,
113,mp,LHH,wjt,24,vacmem,3,100,9,17,10,3,80,1,20,NA,NA,0,80,dead,
113,sm,LHH,NA,24,acegla,9,50,2,3,50,1,40,0,10,NA,NA,3,50,dead,
113,sm,LHH,19,24,alnvir,17,100,2,15,5,11,5,9,15,14,NA,NA,NA,,
113,sm,LHH,11,24,loninv,17,100,1,7,15,3,65,1,10,12,y,NA,NA,,
113,sm,LHH,NA,24,sorsco,17,100,1,3,100,NA,NA,NA,NA,NA,y,NA,NA,,
113,mp,LHH,NA,25,alninc,NA,NA,NA,17,40,15,40,11,20,5,NA,NA,NA,,
113,mp,LHH,NA,25,amealn,17,100,4,15,20,9,80,NA,NA,42,NA,,,,
113,mp,LHH,NA,25,corsto,17,100,1,17,60,9,40,NA,NA,NA,y,NA,NA,,
113,mp,LHH,NA,25,symalb,NA,NA,NA,17,5,15,10,9,5,NA,NA,NA,NA,,
113,sm,LHH,NA,25,poptre,17,100,10,NA,NA,NA,NA,NA,NA,NA,NA,,,,
113,sm,LHH,NA,25,shecan,17,70,3,15,80,9,5,3,15,60,NA,15,30,,
113,sm,LHH,NA,25,spipyr,17,100,2,17,20,15,20,11,20,5,NA,NA,NA,,
113,sm,LHH,NA,25,symalb,NA,NA,NA,3,10,1,50,0,40,NA,NA,NA,NA,,
113,mp,LHH,NA,26,acegla,9,20,5,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,
113,mp,LHH,NA,26,alnvir,15,100,1,17,10,9,30,7,60,9,NA,NA,NA,,
113,mp,LHH,A,26,vibedu,17,100,1,3,100,NA,NA,NA,NA,6,NA,NA,NA,,
113,mp,LHH,NA,26,vibedu,17,100,1,3,100,NA,NA,NA,NA,4,NA,NA,NA,,
113,sm,LHH,2,26,acegla,17,100,1,9,80,7,10,1,10,10,NA,NA,NA,dead,
113,sm,LHH,9,26,acegla,15,50,2,11,35,9,10,1,20,23,NA,7,50,dead,
113,sm,LHH,11,26,loninv,3,100,1,17,30,15,25,3,45,13,y,NA,NA,,
113,sm,LHH, D,26,poptre,17,30,6,17,30,11,10,3,60,46,NA,11,30,,
113,mp,LHH,NA,27,alninc,17,100,4,11,30,10,25,9,70,12,NA,15,65,,
113,mp,LHH,NA,27,amealn,15,100,1,17,10,9,80,7,10,27,y,NA,NA,,
113,mp,LHH,NA,27,samrac,3,100,2,17,50,3,50,NA,NA,2,NA,NA,NA,sv,
113,mp,LHH,NA,27,spibet,17,100,1,17,10,7,65,3,25,12,NA,NA,NA,,
