"lab2","latbb1","latbb50","latbb80","treatment","tbb","population","chill","photo","force","flask","species","rep","lab3","chill.n","force.n","photo.n","site.n"
"poptre_mp_1",NA,NA,NA,"HC.HP.HF",40,"mp","HC","HP","HF",29,"poptre",1,"mp.HC.HP.HF.29.poptre.1",1,1,1,0
"sorsco_mp_1",NA,NA,NA,"HC.HP.HF",12,"mp","HC","HP","HF",29,"sorsco",1,"mp.HC.HP.HF.29.sorsco.1",1,1,1,0
"vibedu_mp_1",10,19,NA,"HC.HP.HF",10,"mp","HC","HP","HF",29,"vibedu",1,"mp.HC.HP.HF.29.vibedu.1",1,1,1,0
"alnvir_mp_1",28,42,NA,"HC.HP.HF",40,"mp","HC","HP","HF",3,"alnvir",1,"mp.HC.HP.HF.3.alnvir.1",1,1,1,0
"symalb_mp_1",10,10,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",3,"symalb",1,"mp.HC.HP.HF.3.symalb.1",1,1,1,0
"loninv_mp_1",13,13,NA,"HC.HP.HF",10,"mp","HC","HP","HF",30,"loninv",1,"mp.HC.HP.HF.30.loninv.1",1,1,1,0
"menfer_mp_1",23,NA,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",30,"menfer",1,"mp.HC.HP.HF.30.menfer.1",1,1,1,0
"popbal_mp_1",NA,NA,NA,"HC.HP.HF",16,"mp","HC","HP","HF",30,"popbal",1,"mp.HC.HP.HF.30.popbal.1",1,1,1,0
"sorsco_mp_1",10,13,NA,"HC.HP.HF",10,"mp","HC","HP","HF",30,"sorsco",1,"mp.HC.HP.HF.30.sorsco.1",1,1,1,0
"acegla_mp_1",28,NA,NA,"HC.HP.HF",23,"mp","HC","HP","HF",31,"acegla",1,"mp.HC.HP.HF.31.acegla.1",1,1,1,0
"amealn_mp_1",10,10,19,"HC.HP.HF",10,"mp","HC","HP","HF",31,"amealn",1,"mp.HC.HP.HF.31.amealn.1",1,1,1,0
"shecan_mp_1",13,26,31,"HC.HP.HF",19,"mp","HC","HP","HF",31,"shecan",1,"mp.HC.HP.HF.31.shecan.1",1,1,1,0
"shecan_mp_2",19,23,23,"HC.HP.HF",19,"mp","HC","HP","HF",31,"shecan",2,"mp.HC.HP.HF.31.shecan.2",1,1,1,0
"menfer_mp_1",23,NA,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",32,"menfer",1,"mp.HC.HP.HF.32.menfer.1",1,1,1,0
"spibet_mp_1",10,10,NA,"HC.HP.HF",10,"mp","HC","HP","HF",32,"spibet",1,"mp.HC.HP.HF.32.spibet.1",1,1,1,0
"vacmem_mp_1",15,NA,NA,"HC.HP.HF",28,"mp","HC","HP","HF",32,"vacmem",1,"mp.HC.HP.HF.32.vacmem.1",1,1,1,0
"vibedu_mp_1",10,12,NA,"HC.HP.HF",12,"mp","HC","HP","HF",32,"vibedu",1,"mp.HC.HP.HF.32.vibedu.1",1,1,1,0
"alninc_mp_1",15,15,15,"HC.HP.HF",10,"mp","HC","HP","HF",33,"alninc",1,"mp.HC.HP.HF.33.alninc.1",1,1,1,0
